x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,0.0,0.0
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,0.0,0.0
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,0.0,0.0
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,0.0,0.0
8.28125,1.8511938163866116e-06,0.0,0.0
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,0.0,0.0
9.21875,3.4461289864152573e-06,9.999999999999999e-06,9.26365856549029e-06
9.53125,4.292897141625699e-06,0.0,0.0
9.84375,5.375567549938924e-06,6.666666666666667e-06,9.146748900568812e-06
10.15625,6.762135640148408e-06,0.0,0.0
10.46875,8.540439529963858e-06,1.6666666666666667e-05,2.3846716556703186e-05
10.78125,1.0824063199638914e-05,6.666666666666667e-06,3.7548517265359654e-06
11.09375,1.3760105562200454e-05,3.3333333333333333e-06,3.1815871195264993e-06
11.40625,1.7539478486886407e-05,1.3333333333333333e-05,1.2785603610749657e-05
11.71875,2.2410659384778435e-05,1.3333333333333333e-05,2.0260111506224026e-05
12.03125,2.869818960127992e-05,1.3333333333333333e-05,1.0442096018740138e-05
12.34375,3.682771177211679e-05,2.6666666666666667e-05,4.272006763616402e-05
12.65625,4.736001612771379e-05,2.9999999999999997e-05,3.4448075771524064e-05
12.96875,6.103745928659283e-05,2.6666666666666667e-05,7.378984566267981e-05
13.28125,7.884726945485467e-05,4.3333333333333334e-05,5.442347353179727e-05
13.59375,0.00010210768846015044,3.6666666666666666e-05,6.960204336606302e-05
13.90625,0.0001325846267072399,7e-05,0.00011781833048959843
14.21875,0.00017264847349134598,0.00012333333333333334,0.000240778067959558
14.53125,0.00022548277344023422,0.00010666666666666667,0.0001755795391406585
14.84375,0.0002953583647705145,0.00014666666666666666,0.0003252689927231428
15.15625,0.00038798776789796116,0.00019333333333333333,0.0004978287330169792
15.46875,0.000510974287854793,0.00019333333333333333,0.00046232859361719947
15.78125,0.0006743672093140967,0.0001866666666666667,0.0006011930704984705
16.09375,0.0008913268889969425,0.00027,0.0008047054062628417
16.40625,0.0011788892783957587,0.0002933333333333333,0.0008743255529014239
16.71875,0.0015587959308270075,0.0003966666666666667,0.001468000371436711
17.03125,0.0020583205098442005,0.0004466666666666667,0.0018488361696463785
17.34375,0.00271097488712712,0.0006633333333333333,0.0029953860737502043
17.65625,0.003556918114324339,0.0007266666666666667,0.003276937988080088
17.96875,0.004642825002720326,0.0008833333333333334,0.0044887398842311035
18.28125,0.006020908886629359,0.0011099999999999999,0.005792075034085129
18.59375,0.007746753952425594,0.00129,0.007141026015649832
18.90625,0.009875622225298416,0.0016666666666666666,0.009791913517250927
19.21875,0.012456989426353636,0.00211,0.012611833929847521
19.53125,0.015527260837697072,0.0025466666666666667,0.015752141343098252
19.84375,0.019100938426080277,0.002926666666666667,0.018864150315940978
20.15625,0.023160942317017073,0.0035900000000000003,0.023634778036847357
20.46875,0.027649281815730693,0.0042,0.027484505724987326
20.78125,0.0324597254823957,0.0049833333333333335,0.032864785297179726
21.09375,0.03743439857590481,0.00572,0.03808277150218601
21.40625,0.042366187812500365,0.00613,0.04152415835828514
21.71875,0.04700833650553265,0.00683,0.04610986335140151
22.03125,0.051091630961630906,0.007606666666666667,0.05131712930719284
22.34375,0.054348205766231276,0.008146666666666667,0.05484796944722556
22.65625,0.056539473067286614,0.00861,0.057387709833413146
22.96875,0.05748436637292536,0.008716666666666668,0.056775240045620186
23.28125,0.0570833708189508,0.008836666666666666,0.056568358615496916
23.59375,0.05533398906279156,0.008906666666666667,0.05589075733636271
23.90625,0.052334460469688385,0.008626666666666668,0.053083461003862895
24.21875,0.0482745364772888,0.008230000000000001,0.04884299309602954
24.53125,0.04341449107910716,0.0072833333333333335,0.04204885163429295
24.84375,0.03805574404876962,0.00706,0.03859947507786276
25.15625,0.03250795276872694,0.00612,0.030807341037623573
25.46875,0.027057835776280348,0.005916666666666667,0.027529808761184243
25.78125,0.021944274690300785,0.005260000000000001,0.021804449266260306
26.09375,0.01734265097784591,0.00478,0.0182729716154758
26.40625,0.013359368497852775,0.004433333333333333,0.014090254230578783
26.71875,0.010035605507524813,0.004076666666666667,0.010062957018535466
27.03125,0.007357946127113171,0.00417,0.008004311196216066
27.34375,0.005272877046722356,0.0039499999999999995,0.005345922836534846
27.65625,0.003702194105152125,0.00415,0.0036724231536557775
27.96875,0.0025569648135306587,0.004156666666666667,0.002590156790426955
28.28125,0.0017485712440564354,0.004376666666666666,0.0016238191965157129
28.59375,0.00119625350250804,0.004583333333333333,0.0009152199153308451
28.90625,0.0008312989101528972,0.004853333333333334,0.0007665202285581168
29.21875,0.0005984847983588944,0.004996666666666667,0.000595519890485028
29.53125,0.00045558057534980884,0.0055066666666666675,0.0009453934901507038
29.84375,0.0003717033820178489,0.00548,0.0003581055724544126
30.15625,0.00032518140349276466,0.005556666666666666,0.00032159232122707185
30.46875,0.0003013862629676142,0.005876666666666667,0.00026791671018410314
30.78125,0.0002908076189663351,0.006153333333333334,0.0002758083306409031
31.09375,0.00028749139259721083,0.006166666666666667,0.000274245884617308
31.40625,0.00028785905956384833,0.006503333333333334,0.00028899535947341957
31.71875,0.0002898659693281407,0.006343333333333333,0.0002819644011208329
32.03125,0.0002924313931863969,0.006506666666666666,0.00028789085534729084
32.34375,0.0002950700053199271,0.006636666666666667,0.00029222724407820095
32.65625,0.0002976634247880915,0.006843333333333333,0.0003009545349672903
32.96875,0.00030032386699326295,0.006730000000000001,0.00029457335684102603
33.28125,0.0003033153806492078,0.0066099999999999996,0.00028943438321431996
33.59375,0.0003070094038674146,0.007070000000000001,0.0003090469197394055
33.90625,0.0003118598075632403,0.007043333333333334,0.0003105036987665801
34.21875,0.0003183883876260886,0.007110000000000001,0.0003122492273303036
34.53125,0.0003271754470938783,0.007633333333333333,0.0003380140075557453
34.84375,0.00033885226083322546,0.007753333333333333,0.0003471960364728319
35.15625,0.00035409334284881367,0.007646666666666666,0.0003455295617366595
35.46875,0.0003736069246030003,0.008,0.0003661620450492672
35.78125,0.00039812217498147397,0.008483333333333332,0.0003939779046342469
36.09375,0.00042837164026212216,0.00892,0.0004186139656095621
36.40625,0.0004650672960786961,0.00993,0.0004709194927011506
36.71875,0.0005088685969948994,0.010416666666666666,0.0005003610065344539
37.03125,0.0005603410862756026,0.011566666666666666,0.0005618675155202543
37.34375,0.0006199045875325634,0.012493333333333334,0.0006107209259825672
37.65625,0.000687770832022491,0.01389,0.0006849921913013776
37.96875,0.0007638716509085322,0.0154,0.0007634136890459515
38.28125,0.000847780609337552,0.01678,0.0008366846635775155
38.59375,0.0009386331369336904,0.01848666666666667,0.0009224859241337114
38.90625,0.001035052673246448,0.020253333333333335,0.0010134315426935361
39.21875,0.0011350928223780364,0.022526666666666667,0.0011285883445271041
39.53125,0.001236207579405507,0.024496666666666667,0.001227056025896402
39.84375,0.0013352628015964668,0.026206666666666666,0.0013104526192932039
40.15625,0.0014286016208602652,0.02783,0.0013921318075553646
40.46875,0.0015121738265844286,0.03004333333333333,0.0015026825800097308
40.78125,0.0015817339641452921,0.03138,0.0015695340747532262
41.09375,0.0016331049318623755,0.032670000000000005,0.0016265166721611615
41.40625,0.0016624937016263804,0.03343,0.0016645167292569252
41.71875,0.001666834587286993,0.03364666666666667,0.0016742989120760651
42.03125,0.0016441250549268861,0.0329,0.0016408990039208451
42.34375,0.0015937116991194852,0.031876666666666664,0.0015893620290547278
42.65625,0.0015164820625473581,0.030219999999999997,0.0015073497262361483
42.96875,0.0014149233165444738,0.027540000000000002,0.0013863699448350589
43.28125,0.0012930221716065842,0.025033333333333335,0.0012589006417344805
43.59375,0.0011560008081975602,0.022483333333333334,0.001138574073526734
