x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,0.0,0.0
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,0.0,0.0
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,0.0,0.0
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,0.0,0.0
8.28125,1.8511938163866116e-06,0.0,0.0
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,0.0,0.0
9.21875,3.4461289864152573e-06,1e-05,1.3323919032742026e-05
9.53125,4.292897141625699e-06,0.0,0.0
9.84375,5.375567549938924e-06,1e-05,1.6573773904886216e-05
10.15625,6.762135640148408e-06,0.0,0.0
10.46875,8.540439529963858e-06,3.0000000000000004e-05,5.189664286377316e-05
10.78125,1.0824063199638914e-05,1e-05,1.331156763918239e-06
11.09375,1.3760105562200454e-05,0.0,0.0
11.40625,1.7539478486886407e-05,1e-05,1.1154794044039378e-05
11.71875,2.2410659384778435e-05,1e-05,1.3183191089862914e-05
12.03125,2.869818960127992e-05,1e-05,9.927876520687063e-06
12.34375,3.682771177211679e-05,2e-05,2.4642994205405806e-05
12.65625,4.736001612771379e-05,4e-05,4.283133571895059e-05
12.96875,6.103745928659283e-05,1e-05,1.2179058854931563e-05
13.28125,7.884726945485467e-05,6.000000000000001e-05,8.235859930950178e-05
13.59375,0.00010210768846015044,1e-05,1.6153800148510572e-05
13.90625,0.0001325846267072399,0.00012000000000000002,0.00023601728555749108
14.21875,0.00017264847349134598,0.00010000000000000002,0.0001286003023103179
14.53125,0.00022548277344023422,0.00011000000000000002,0.00016111993385921239
14.84375,0.0002953583647705145,0.00018,0.000341151399331994
15.15625,0.00038798776789796116,0.00021000000000000004,0.00045727245176435677
15.46875,0.000510974287854793,0.00020000000000000004,0.0003894759133131303
15.78125,0.0006743672093140967,0.00021,0.0006596882396463421
16.09375,0.0008913268889969425,0.00029,0.0008534846245175493
16.40625,0.0011788892783957587,0.0003800000000000001,0.0011132635776836468
16.71875,0.0015587959308270075,0.00037000000000000005,0.0012833913931886679
17.03125,0.0020583205098442005,0.00049,0.0017218712199735605
17.34375,0.00271097488712712,0.00092,0.003391292472495026
17.65625,0.003556918114324339,0.0009300000000000002,0.003579261914963109
17.96875,0.004642825002720326,0.00112,0.004618265686826165
18.28125,0.006020908886629359,0.0013800000000000002,0.006016621694799021
18.59375,0.007746753952425594,0.0015500000000000002,0.0071331877945477835
18.90625,0.009875622225298416,0.00206,0.009786823110106615
19.21875,0.012456989426353636,0.00274,0.013231725684457043
19.53125,0.015527260837697072,0.00308,0.015494377353435836
19.84375,0.019100938426080277,0.0034000000000000002,0.017992733965303324
20.15625,0.023160942317017073,0.00408,0.021870970970615893
20.46875,0.027649281815730693,0.00487,0.02602257137369651
20.78125,0.0324597254823957,0.00587,0.03212955923962343
21.09375,0.03743439857590481,0.006880000000000001,0.038473547388617274
21.40625,0.042366187812500365,0.00699,0.03907830266378174
21.71875,0.04700833650553265,0.00824,0.046763672218597105
22.03125,0.051091630961630906,0.009099999999999999,0.05269627217144296
22.34375,0.054348205766231276,0.00938,0.053869835019710946
22.65625,0.056539473067286614,0.00988,0.057467431466015975
22.96875,0.05748436637292536,0.01009,0.05784199868290429
23.28125,0.0570833708189508,0.00987,0.05576243960893541
23.59375,0.05533398906279156,0.01008,0.05629113363647008
23.90625,0.052334460469688385,0.009300000000000001,0.05072108313486856
24.21875,0.0482745364772888,0.00936,0.0499761957018582
24.53125,0.04341449107910716,0.008320000000000001,0.042552267205431704
24.84375,0.03805574404876962,0.00788,0.04041070813302291
25.15625,0.03250795276872694,0.007089999999999999,0.032212387515568854
25.46875,0.027057835776280348,0.00679,0.028397711223855475
25.78125,0.021944274690300785,0.00556,0.02106235451027743
26.09375,0.01734265097784591,0.00521,0.01869108883493868
26.40625,0.013359368497852775,0.004860000000000001,0.015301077840429634
26.71875,0.010035605507524813,0.0041,0.010481251923404355
27.03125,0.007357946127113171,0.00427,0.007805527434788838
27.34375,0.005272877046722356,0.00394,0.004662877313854771
27.65625,0.003702194105152125,0.00425,0.0035486245095889372
27.96875,0.0025569648135306587,0.0043100000000000005,0.0033751139928651992
28.28125,0.0017485712440564354,0.0043300000000000005,0.0012581690369242642
28.59375,0.00119625350250804,0.004520000000000001,0.0008956081811982982
28.90625,0.0008312989101528972,0.004890000000000001,0.000946481482857317
29.21875,0.0005984847983588944,0.00487,0.0005982347339330256
29.53125,0.00045558057534980884,0.0052499999999999995,0.0003156009553676531
29.84375,0.0003717033820178489,0.0051199999999999996,0.000350291432783019
30.15625,0.00032518140349276466,0.00548,0.00026091248787464604
30.46875,0.0003013862629676142,0.00592,0.0002841943756253343
30.78125,0.0002908076189663351,0.00633,0.00028961252791700576
31.09375,0.00028749139259721083,0.00589,0.00026579443315041275
31.40625,0.00028785905956384833,0.00639,0.0002870311305745854
31.71875,0.0002898659693281407,0.0064600000000000005,0.000292005001810873
32.03125,0.0002924313931863969,0.00641,0.0002909869292808291
32.34375,0.0002950700053199271,0.00652,0.00029224866558885394
32.65625,0.0002976634247880915,0.00642,0.0002884434634120468
32.96875,0.00030032386699326295,0.0062699999999999995,0.0002795918227480396
33.28125,0.0003033153806492078,0.00681,0.0003037186558130715
33.59375,0.0003070094038674146,0.00691,0.00030676448889892786
33.90625,0.0003118598075632403,0.00713,0.0003180468628885656
34.21875,0.0003183883876260886,0.00727,0.00032237650731183683
34.53125,0.0003271754470938783,0.007659999999999999,0.000342402674872898
34.84375,0.00033885226083322546,0.0078,0.00035308131292667127
35.15625,0.00035409334284881367,0.007679999999999999,0.0003499119602208764
35.46875,0.0003736069246030003,0.00807,0.00037200895095343845
35.78125,0.00039812217498147397,0.00852,0.0003976633620630933
36.09375,0.00042837164026212216,0.008460000000000002,0.00040047972334033373
36.40625,0.0004650672960786961,0.00981,0.00047390018633428966
36.71875,0.0005088685969948994,0.00997,0.00048698396177430036
37.03125,0.0005603410862756026,0.010960000000000001,0.0005441951746712438
37.34375,0.0006199045875325634,0.01242,0.0006247892301180755
37.65625,0.000687770832022491,0.01383,0.0007047950996446113
37.96875,0.0007638716509085322,0.014950000000000001,0.0007624989701915455
38.28125,0.000847780609337552,0.01648,0.0008451415935157847
38.59375,0.0009386331369336904,0.01831,0.0009410389273291511
38.90625,0.001035052673246448,0.020159999999999997,0.0010389596594061997
39.21875,0.0011350928223780364,0.02233,0.0011492523059731079
39.53125,0.001236207579405507,0.024050000000000002,0.0012353316791178846
39.84375,0.0013352628015964668,0.02537,0.0013038301432269487
40.15625,0.0014286016208602652,0.02705,0.001392399543824404
40.46875,0.0015121738265844286,0.02971,0.0015303352763490286
40.78125,0.0015817339641452921,0.03083,0.0015898550562656526
41.09375,0.0016331049318623755,0.03164,0.001633528166757589
41.40625,0.0016624937016263804,0.03176,0.001645083767574153
41.71875,0.001666834587286993,0.03265,0.0016981189332065257
42.03125,0.0016441250549268861,0.03148,0.0016451299071882429
42.34375,0.0015937116991194852,0.0308,0.00161401010460077
42.65625,0.0015164820625473581,0.02825,0.001493833580453716
42.96875,0.0014149233165444738,0.02672,0.0014328434326685985
43.28125,0.0012930221716065842,0.023870000000000002,0.0012806666880646443
43.59375,0.0011560008081975602,0.021079999999999998,0.0011372227191994533
43.90625,0.001009908294806806,0.01894,0.0010282659786359804
44.21875,0.0008611114858099039,0.0154,0.0008397404649622502
44.53125,0.0007157485888117388,0.013060000000000002,0.0007153820257959813
44.84375,0.0005792177474290221,0.010440000000000001,0.0005723748670267504
45.15625,0.00045576919832503843,0.008440000000000001,0.0004620889312237568
45.46875,0.00034825277135019066,0.007180000000000001,0.0003927050972736821
45.78125,0.00025804581750240067,0.00459,0.0002476493599973236
46.09375,0.0001851557507955927,0.00352,0.0001896065833671505
