x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,0.0,0.0
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,0.0,0.0
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,0.0,0.0
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,0.0,0.0
8.28125,1.8511938163866116e-06,0.0,0.0
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,0.0,0.0
9.21875,3.4461289864152573e-06,1e-05,8.828199147848361e-06
9.53125,4.292897141625699e-06,0.0,0.0
9.84375,5.375567549938924e-06,1e-05,1.212040650326377e-05
10.15625,6.762135640148408e-06,0.0,0.0
10.46875,8.540439529963858e-06,0.0,0.0
10.78125,1.0824063199638914e-05,0.0,0.0
11.09375,1.3760105562200454e-05,0.0,0.0
11.40625,1.7539478486886407e-05,1e-05,8.22675709806197e-06
11.71875,2.2410659384778435e-05,2e-05,4.120026813969013e-05
12.03125,2.869818960127992e-05,2e-05,1.0643995220519334e-05
12.34375,3.682771177211679e-05,2e-05,5.3908993957025226e-05
12.65625,4.736001612771379e-05,1e-05,1.6471176406174e-05
12.96875,6.103745928659283e-05,3.0000000000000004e-05,3.196913703842373e-05
13.28125,7.884726945485467e-05,4e-05,3.7001259938310805e-05
13.59375,0.00010210768846015044,4e-05,0.00011527926880502665
13.90625,0.0001325846267072399,3.0000000000000004e-05,3.3889359808487814e-05
14.21875,0.00017264847349134598,0.00011000000000000002,0.00024280448480379254
14.53125,0.00022548277344023422,0.00010000000000000002,0.00015482990770519483
14.84375,0.0002953583647705145,8e-05,0.0001245203018046468
15.15625,0.00038798776789796116,0.00013000000000000002,0.00041897660402547715
15.46875,0.000510974287854793,0.00016,0.000422898809390329
15.78125,0.0006743672093140967,0.00017,0.0005238812774060878
16.09375,0.0008913268889969425,0.00021,0.0006636639935650572
16.40625,0.0011788892783957587,0.00020000000000000004,0.0005610790557172708
16.71875,0.0015587959308270075,0.00036,0.0012165903670425776
17.03125,0.0020583205098442005,0.00034,0.0015319283536659953
17.34375,0.00271097488712712,0.00048000000000000007,0.002141095512812439
17.65625,0.003556918114324339,0.00064,0.003208860825647701
17.96875,0.004642825002720326,0.00064,0.003329829412638814
18.28125,0.006020908886629359,0.00082,0.004824803960768873
18.59375,0.007746753952425594,0.0012100000000000001,0.006792091097531845
18.90625,0.009875622225298416,0.0014000000000000002,0.00819715828139064
19.21875,0.012456989426353636,0.00179,0.011514949411480097
19.53125,0.015527260837697072,0.0023799999999999997,0.015879876790470142
19.84375,0.019100938426080277,0.00254,0.01720717746115814
20.15625,0.023160942317017073,0.0035300000000000006,0.024106061658437226
20.46875,0.027649281815730693,0.00404,0.0278081778238535
20.78125,0.0324597254823957,0.00467,0.031879240158133156
21.09375,0.03743439857590481,0.00533,0.03786714261534877
21.40625,0.042366187812500365,0.00579,0.040121867503655484
21.71875,0.04700833650553265,0.00636,0.04375752770742034
22.03125,0.051091630961630906,0.0071600000000000006,0.046965795599562245
22.34375,0.054348205766231276,0.0077599999999999995,0.053492111543095446
22.65625,0.056539473067286614,0.008320000000000001,0.05529218883619229
22.96875,0.05748436637292536,0.00889,0.05937188621742359
23.28125,0.0570833708189508,0.00881,0.056916002594781745
23.59375,0.05533398906279156,0.00884,0.05604579103142181
23.90625,0.052334460469688385,0.00898,0.0557309334299468
24.21875,0.0482745364772888,0.00837,0.049212394891096495
24.53125,0.04341449107910716,0.007380000000000001,0.04413694151784921
24.84375,0.03805574404876962,0.007380000000000001,0.04194361310523801
25.15625,0.03250795276872694,0.00579,0.031001675677006606
25.46875,0.027057835776280348,0.00603,0.028440659351653092
25.78125,0.021944274690300785,0.005550000000000001,0.022640841374769724
26.09375,0.01734265097784591,0.00476,0.019207222822010903
26.40625,0.013359368497852775,0.0044399999999999995,0.015274564695257929
26.71875,0.010035605507524813,0.004260000000000001,0.010659694155665813
27.03125,0.007357946127113171,0.00417,0.007908826010642335
27.34375,0.005272877046722356,0.0039900000000000005,0.006350564809971506
27.65625,0.003702194105152125,0.00404,0.004293053757059268
27.96875,0.0025569648135306587,0.0039900000000000005,0.002143464695549304
28.28125,0.0017485712440564354,0.00428,0.0016639681015836558
28.59375,0.00119625350250804,0.00453,0.0011604683743476267
28.90625,0.0008312989101528972,0.004690000000000001,0.0007848657349861863
29.21875,0.0005984847983588944,0.004830000000000001,0.00043903755609580187
29.53125,0.00045558057534980884,0.00551,0.0004458120559415159
29.84375,0.0003717033820178489,0.0054800000000000005,0.0002961162688761457
30.15625,0.00032518140349276466,0.00536,0.0003338545506434196
30.46875,0.0003013862629676142,0.0059700000000000005,0.0003056937997100507
30.78125,0.0002908076189663351,0.0057399999999999994,0.00029251151214713836
31.09375,0.00028749139259721083,0.00631,0.00032030921257642197
31.40625,0.00028785905956384833,0.00621,0.0003155980477296903
31.71875,0.0002898659693281407,0.006039999999999999,0.0003056388887042644
32.03125,0.0002924313931863969,0.00599,0.00029983603079254315
32.34375,0.0002950700053199271,0.0066300000000000005,0.00033070769069285585
32.65625,0.0002976634247880915,0.00722,0.0003576731663237477
32.96875,0.00030032386699326295,0.0068000000000000005,0.0003345153428443102
33.28125,0.0003033153806492078,0.00622,0.0003048103894999028
33.59375,0.0003070094038674146,0.00751,0.00036449030855440563
33.90625,0.0003118598075632403,0.00683,0.00033394621065890737
34.21875,0.0003183883876260886,0.00703,0.00034167791083566663
34.53125,0.0003271754470938783,0.00743,0.00036427470292424663
34.84375,0.00033885226083322546,0.0075,0.00037115690396882073
35.15625,0.00035409334284881367,0.00784,0.00039250939291967106
35.46875,0.0003736069246030003,0.00799,0.00040689525292156845
35.78125,0.00039812217498147397,0.00827,0.00042626312744663145
36.09375,0.00042837164026212216,0.00876,0.00046238260504942875
36.40625,0.0004650672960786961,0.009770000000000001,0.0005210797864354556
36.71875,0.0005088685969948994,0.01103,0.0005952321942266456
37.03125,0.0005603410862756026,0.011640000000000001,0.0006352413496133024
37.34375,0.0006199045875325634,0.01208,0.0006600875965714489
37.65625,0.000687770832022491,0.01395,0.0007680074129326144
37.96875,0.0007638716509085322,0.01499,0.0008368880645051933
38.28125,0.000847780609337552,0.01686,0.000943088214834567
38.59375,0.0009386331369336904,0.01849,0.001035755255673642
38.90625,0.001035052673246448,0.01924,0.0010786246365893696
39.21875,0.0011350928223780364,0.02234,0.001258241779684222
39.53125,0.001236207579405507,0.024730000000000002,0.0013964511773874003
39.84375,0.0013352628015964668,0.026410000000000003,0.001488269035837153
40.15625,0.0014286016208602652,0.027480000000000004,0.0015460237217247218
40.46875,0.0015121738265844286,0.029279999999999997,0.0016433625019083202
40.78125,0.0015817339641452921,0.03056,0.0017133723629959444
41.09375,0.0016331049318623755,0.03254,0.001810371393039095
41.40625,0.0016624937016263804,0.0334,0.0018521929505743357
41.71875,0.001666834587286993,0.03291,0.001811024933631639
42.03125,0.0016441250549268861,0.03380999999999999,0.001859931260496664
42.34375,0.0015937116991194852,0.03219,0.0017581143521421603
42.65625,0.0015164820625473581,0.03043,0.0016546125956146806
42.96875,0.0014149233165444738,0.02837,0.0015426083887648667
43.28125,0.0012930221716065842,0.02615,0.0014161289998439418
43.59375,0.0011560008081975602,0.023540000000000002,0.0012803436620957758
43.90625,0.001009908294806806,0.020929999999999997,0.0011356737654568939
44.21875,0.0008611114858099039,0.017009999999999997,0.0009192625948766008
44.53125,0.0007157485888117388,0.014429999999999998,0.000779383748016791
44.84375,0.0005792177474290221,0.012130000000000002,0.0006530849102253534
45.15625,0.00045576919832503843,0.00927,0.0004953150078293929
45.46875,0.00034825277135019066,0.007170000000000001,0.000380960752335918
45.78125,0.00025804581750240067,0.00537,0.00028154527796142776
46.09375,0.0001851557507955927,0.004200000000000001,0.00021408407569609427
