x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,4.278324452568939e-05,2.766575188802058e-07
0.46875,1.3380254261258302e-07,4.27832445256894e-05,1.1747037630411494e-07
0.78125,1.4263320874919904e-07,4.27832445256894e-05,2.7890990898314334e-07
1.09375,1.519456586890289e-07,3.1115086927774104e-05,2.478612640719912e-07
1.40625,1.6181656187552769e-07,2.722570106180234e-05,2.252802875187152e-07
1.71875,1.723442795240818e-07,7.38983314534635e-05,4.4047254082639e-07
2.03125,1.8365405502074206e-07,3.1115086927774104e-05,1.6435757276174256e-07
2.34375,1.9590446376124462e-07,3.5004472793745864e-05,2.532880999301281e-07
2.65625,2.0929547394393888e-07,5.834078798957645e-05,4.27669265391565e-07
2.96875,2.2407857667896644e-07,4.667263039166116e-05,3.6214648670018084e-07
3.28125,2.4056958334885413e-07,4.667263039166116e-05,3.401037455272965e-07
3.59375,2.591648703323138e-07,4.27832445256894e-05,3.545979517001985e-07
3.90625,2.8036208881502633e-07,3.889385865971763e-05,4.050471434819217e-07
4.21875,3.0478666708481976e-07,7.38983314534635e-05,5.953233870203003e-07
4.53125,3.3322583591811654e-07,5.0562016257632916e-05,3.5323532264860084e-07
4.84375,3.6667243203505686e-07,5.0562016257632916e-05,5.406753009114881e-07
5.15625,4.06381415508131e-07,8.945587491735055e-05,1.0973251110229523e-06
5.46875,4.5394291953192314e-07,5.0562016257632916e-05,7.798174477231821e-07
5.78125,5.113767922614607e-07,5.834078798957645e-05,6.358333765793986e-07
6.09375,5.812550626745653e-07,7.38983314534635e-05,7.583682583247739e-07
6.40625,6.668606564569042e-07,6.223017385554821e-05,9.201779195821284e-07
6.71875,7.723931180300333e-07,8.167710318540702e-05,1.2485404861981647e-06
7.03125,9.032352052405136e-07,8.167710318540702e-05,2.420099520465461e-06
7.34375,1.0662981973275468e-06,9.334526078332231e-05,2.7090370628021806e-06
7.65625,1.2704688312977137e-06,8.167710318540702e-05,2.4893988360019387e-06
7.96875,1.5271872687229006e-06,9.723464664929407e-05,1.6182961916226601e-06
8.28125,1.8511938163866116e-06,7.38983314534635e-05,1.8015076297043914e-06
8.59375,2.261492868027323e-06,0.00012834973357706816,2.8814982784723405e-06
8.90625,2.7825965416757505e-06,9.723464664929407e-05,6.146829985680613e-06
9.21875,3.4461289864152573e-06,0.00011279219011318113,4.070589846335877e-06
9.53125,4.292897141625699e-06,6.611955972151997e-05,6.939900705673078e-06
9.84375,5.375567549938924e-06,9.723464664929407e-05,1.1239638441990666e-05
10.15625,6.762135640148408e-06,0.00013223911944303996,8.730893556650033e-06
10.46875,8.540439529963858e-06,0.0001050134183812376,2.5351810559950592e-05
10.78125,1.0824063199638914e-05,0.0001050134183812376,9.704173395571216e-06
11.09375,1.3760105562200454e-05,0.00012834973357706816,2.8307528694841025e-05
11.40625,1.7539478486886407e-05,0.00016335420637081404,2.630992143935016e-05
11.71875,2.2410659384778435e-05,0.00012057096184512464,6.196158793488776e-05
12.03125,2.869818960127992e-05,0.00014001789117498346,2.8548923322684936e-05
12.34375,3.682771177211679e-05,0.00015946482050484227,6.204504489896055e-05
12.65625,4.736001612771379e-05,0.00014001789117498346,0.00010588906542068715
12.96875,6.103745928659283e-05,0.00019446929329858812,9.576329992641035e-05
13.28125,7.884726945485467e-05,0.000147796662906927,5.8819436261714966e-05
13.59375,0.00010210768846015044,0.00021780560849441876,8.686299852019277e-05
13.90625,0.0001325846267072399,0.0001905799074326164,0.00010082135132968528
14.21875,0.00017264847349134598,0.00015557543463887052,0.00027546746484518437
14.53125,0.00022548277344023422,0.0001789117498347011,0.0003048781172887718
14.84375,0.0002953583647705145,0.00019835867916455992,0.0002919900701041548
15.15625,0.00038798776789796116,0.0002528100812881646,0.0007591163991215711
15.46875,0.000510974287854793,0.0002216949943603905,0.0005790322752737141
15.78125,0.0006743672093140967,0.0003461553420714869,0.0005401473167906133
16.09375,0.0008913268889969425,0.00028781455408191046,0.0004272208285199182
16.40625,0.0011788892783957587,0.00033059779860759983,0.000686421610441027
16.71875,0.0015587959308270075,0.00034615534207148687,0.00027533416223751104
17.03125,0.0020583205098442005,0.0004006067441950915,0.000899739858698416
17.34375,0.00271097488712712,0.00046283691805063974,0.0006025432247541442
17.65625,0.003556918114324339,0.0005056201625763292,0.0010084006938886245
17.96875,0.004642825002720326,0.0005561821788339621,0.0006048586748039228
18.28125,0.006020908886629359,0.0007195363852047761,0.0009825969921847923
18.59375,0.007746753952425594,0.0007778771731943526,0.001079858698066506
18.90625,0.009875622225298416,0.0008089922601221267,0.0007209043241770987
19.21875,0.012456989426353636,0.0010579129555443195,0.0021233512288723637
19.53125,0.015527260837697072,0.0013185018085644278,0.0026425193725431216
19.84375,0.019100938426080277,0.0018007856559449265,0.004234038432329206
20.15625,0.023160942317017073,0.002100268367624752,0.0046000661718106715
20.46875,0.027649281815730693,0.0024697600248920694,0.00658425416785616
20.78125,0.0324597254823957,0.0030609466765197774,0.008750133670108325
21.09375,0.03743439857590481,0.0036054606977558245,0.01293482333901862
21.40625,0.042366187812500365,0.004336665240558515,0.016997101885812098
21.71875,0.04700833650553265,0.004756718914083465,0.019691973720735122
22.03125,0.051091630961630906,0.005281786005989654,0.0247822893347294
22.34375,0.054348205766231276,0.005946870989070825,0.03700684060021844
22.65625,0.056539473067286614,0.006541947026564505,0.04804144069176219
22.96875,0.05748436637292536,0.00701645210221306,0.06839525123784179
23.28125,0.0570833708189508,0.007545408579985221,0.08454293301759178
23.59375,0.05533398906279156,0.0076076387538407675,0.08229190122316181
23.90625,0.052334460469688385,0.007899342693788652,0.07901527470881292
24.21875,0.0482745364772888,0.008187157247870561,0.0769229087534587
24.53125,0.04341449107910716,0.007930457780716424,0.06493626864209547
24.84375,0.03805574404876962,0.00787600637859282,0.06012351651073863
25.15625,0.03250795276872694,0.007164248765119988,0.04780579032955009
