x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,1.1431445620613183e-05,7.86396884221184e-08
0.46875,1.3380254261258302e-07,1.1431445620613183e-05,3.6010466480418214e-08
0.78125,1.4263320874919904e-07,5.715722810306592e-05,2.7629876570258283e-07
1.09375,1.519456586890289e-07,2.2862891241226367e-05,1.6771509335558963e-07
1.40625,1.6181656187552769e-07,1.1431445620613183e-05,9.532932866666392e-08
1.71875,1.723442795240818e-07,2.2862891241226367e-05,1.1269964710606164e-07
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,3.429433686183955e-05,2.1368168130688306e-07
2.65625,2.0929547394393888e-07,4.5725782482452734e-05,3.082782236819788e-07
2.96875,2.2407857667896644e-07,3.429433686183955e-05,2.269466866811875e-07
3.28125,2.4056958334885413e-07,5.715722810306592e-05,2.7861873219272217e-07
3.59375,2.591648703323138e-07,3.429433686183955e-05,1.999682595080042e-07
3.90625,2.8036208881502633e-07,4.5725782482452734e-05,3.822830062137802e-07
4.21875,3.0478666708481976e-07,6.85886737236791e-05,3.2553036834128857e-07
4.53125,3.3322583591811654e-07,3.429433686183955e-05,1.684418240465644e-07
4.84375,3.6667243203505686e-07,0.00010288301058551865,6.88028481484043e-07
5.15625,4.06381415508131e-07,8.002011934429228e-05,7.713951107475271e-07
5.46875,4.5394291953192314e-07,5.715722810306592e-05,6.512965109235711e-07
5.78125,5.113767922614607e-07,9.145156496490547e-05,6.697491391831504e-07
6.09375,5.812550626745653e-07,3.429433686183955e-05,2.407225829514265e-07
6.40625,6.668606564569042e-07,4.5725782482452734e-05,3.8492816502830097e-07
6.71875,7.723931180300333e-07,4.5725782482452734e-05,4.0762412972639713e-07
7.03125,9.032352052405136e-07,6.85886737236791e-05,2.232027424252698e-06
7.34375,1.0662981973275468e-06,9.145156496490547e-05,2.7735763125352114e-06
7.65625,1.2704688312977137e-06,8.002011934429228e-05,2.192359968317114e-06
7.96875,1.5271872687229006e-06,0.00010288301058551865,4.817697906812124e-07
8.28125,1.8511938163866116e-06,4.5725782482452734e-05,7.211513600818886e-07
8.59375,2.261492868027323e-06,8.002011934429228e-05,1.2943862823858024e-06
8.90625,2.7825965416757505e-06,9.145156496490547e-05,4.177914380031092e-06
9.21875,3.4461289864152573e-06,9.145156496490547e-05,2.2575434602979117e-06
9.53125,4.292897141625699e-06,6.85886737236791e-05,2.7056225635831942e-06
9.84375,5.375567549938924e-06,9.145156496490547e-05,9.840011004958625e-06
10.15625,6.762135640148408e-06,0.00012574590182674503,6.61386501934949e-06
10.46875,8.540439529963858e-06,0.00012574590182674503,1.6963120213159485e-05
10.78125,1.0824063199638914e-05,0.00011431445620613183,3.4504865928830055e-06
11.09375,1.3760105562200454e-05,9.145156496490547e-05,3.213988766298889e-05
11.40625,1.7539478486886407e-05,0.0001371773474473582,2.122251188143885e-05
11.71875,2.2410659384778435e-05,0.00016004023868858457,8.113376223227408e-05
12.03125,2.869818960127992e-05,0.00016004023868858457,3.599047013763648e-05
12.34375,3.682771177211679e-05,0.00017147168430919777,7.361355518857208e-05
12.65625,4.736001612771379e-05,0.00012574590182674503,5.6926170684557474e-05
12.96875,6.103745928659283e-05,0.0002171974667916505,6.923323606596623e-05
13.28125,7.884726945485467e-05,0.00010288301058551865,4.896480605063463e-06
13.59375,0.00010210768846015044,0.0002171974667916505,4.944952853768785e-05
13.90625,0.0001325846267072399,0.00024006035803287684,0.00017108483173021078
14.21875,0.00017264847349134598,0.00017147168430919777,0.00018743530670905346
14.53125,0.00022548277344023422,0.00022862891241226367,0.00020994752386641904
14.84375,0.0002953583647705145,0.0001943345755504241,0.0003282200072379747
