x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,0.0,0.0
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,0.0,0.0
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,0.0,0.0
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,0.0,0.0
8.28125,1.8511938163866116e-06,0.0,0.0
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,0.0,0.0
9.21875,3.4461289864152573e-06,1e-05,2.419258626486731e-05
9.53125,4.292897141625699e-06,0.0,0.0
9.84375,5.375567549938924e-06,0.0,0.0
10.15625,6.762135640148408e-06,1e-05,3.88463693945282e-06
10.46875,8.540439529963858e-06,3.0000000000000004e-05,4.955986451362991e-05
10.78125,1.0824063199638914e-05,2e-05,1.5322433172807018e-05
11.09375,1.3760105562200454e-05,2e-05,2.9157224057176084e-05
11.40625,1.7539478486886407e-05,1e-05,1.396763850124181e-05
11.71875,2.2410659384778435e-05,3.0000000000000004e-05,2.3044840335151743e-05
12.03125,2.869818960127992e-05,2e-05,1.7507104012720962e-05
12.34375,3.682771177211679e-05,9.000000000000002e-05,7.860728254737234e-05
12.65625,4.736001612771379e-05,5e-05,4.165659796402612e-05
12.96875,6.103745928659283e-05,0.00012000000000000002,7.234369146637035e-05
13.28125,7.884726945485467e-05,5e-05,4.10571786573296e-05
13.59375,0.00010210768846015044,0.00012000000000000002,7.636178220091246e-05
13.90625,0.0001325846267072399,0.0002,0.00013769781340188856
14.21875,0.00017264847349134598,0.00023000000000000006,0.0001622683688377994
14.53125,0.00022548277344023422,0.00035000000000000005,0.0002483795144747988
14.84375,0.0002953583647705145,0.0004500000000000001,0.00030559884570703237
15.15625,0.00038798776789796116,0.0006200000000000001,0.00041064892218291765
15.46875,0.000510974287854793,0.0008500000000000001,0.0005638570794572696
15.78125,0.0006743672093140967,0.00098,0.0007170854550261431
16.09375,0.0008913268889969425,0.0012799999999999999,0.0009020685053453613
16.40625,0.0011788892783957587,0.00162,0.0011916005985596466
16.71875,0.0015587959308270075,0.0020900000000000003,0.0015565680267499143
17.03125,0.0020583205098442005,0.00253,0.0019885359976117333
17.34375,0.00271097488712712,0.0031800000000000005,0.002571885225566023
17.65625,0.003556918114324339,0.0041600000000000005,0.0034867808491909165
17.96875,0.004642825002720326,0.0055,0.004777103657108739
18.28125,0.006020908886629359,0.0065899999999999995,0.005947598317513502
18.59375,0.007746753952425594,0.00885,0.008119443509573466
18.90625,0.009875622225298416,0.010610000000000001,0.009925799670502871
19.21875,0.012456989426353636,0.01262,0.012023228811710505
19.53125,0.015527260837697072,0.01529,0.014786904442137492
19.84375,0.019100938426080277,0.019649999999999997,0.019077056717336234
20.15625,0.023160942317017073,0.023610000000000003,0.0230760299340247
20.46875,0.027649281815730693,0.027819999999999998,0.02719963757093629
20.78125,0.0324597254823957,0.03415000000000001,0.03341456730702323
21.09375,0.03743439857590481,0.03778000000000001,0.03708698109313246
21.40625,0.042366187812500365,0.04336,0.04251396795315626
21.71875,0.04700833650553265,0.048299999999999996,0.0476259757985168
22.03125,0.051091630961630906,0.05204,0.05146833549911804
22.34375,0.054348205766231276,0.054180000000000006,0.05379642221637339
22.65625,0.056539473067286614,0.05651,0.05638999530095036
22.96875,0.05748436637292536,0.05684,0.057005076759713266
23.28125,0.0570833708189508,0.05634,0.05660213098116864
23.59375,0.05533398906279156,0.05543,0.05597079005946876
23.90625,0.052334460469688385,0.05098,0.05182564737712967
24.21875,0.0482745364772888,0.048240000000000005,0.04948627424639033
24.53125,0.04341449107910716,0.04244,0.04362055196647815
24.84375,0.03805574404876962,0.036140000000000005,0.03746058439039943
25.15625,0.03250795276872694,0.031310000000000004,0.032665423413009195
25.46875,0.027057835776280348,0.02574,0.02716435041990675
25.78125,0.021944274690300785,0.02217,0.022976158606287996
26.09375,0.01734265097784591,0.01567,0.016347008064065513
26.40625,0.013359368497852775,0.01268,0.01362139285054879
26.71875,0.010035605507524813,0.00938,0.010179080579940564
27.03125,0.007357946127113171,0.0067,0.007672363084146806
27.34375,0.005272877046722356,0.0049,0.005548499792290496
27.65625,0.003702194105152125,0.0033100000000000004,0.00361670759798634
27.96875,0.0025569648135306587,0.0023499999999999997,0.002480423631373435
28.28125,0.0017485712440564354,0.0018,0.0017703990210378839
28.59375,0.00119625350250804,0.00136,0.0013079322032895594
28.90625,0.0008312989101528972,0.0009600000000000001,0.0008662683677506609
29.21875,0.0005984847983588944,0.00087,0.0006381226876864495
29.53125,0.00045558057534980884,0.0006800000000000002,0.0004881459196046759
29.84375,0.0003717033820178489,0.0004300000000000001,0.0003188600555885527
30.15625,0.00032518140349276466,0.00057,0.00029189820745074155
30.46875,0.0003013862629676142,0.0005200000000000001,0.0002580023649459044
30.78125,0.0002908076189663351,0.0006100000000000001,0.0002945852616681877
31.09375,0.00028749139259721083,0.00058,0.0002974543554701619
31.40625,0.00028785905956384833,0.0006000000000000001,0.0002950396974018152
31.71875,0.0002898659693281407,0.0005300000000000001,0.0002647171883141484
32.03125,0.0002924313931863969,0.0007000000000000001,0.000338712788080713
32.34375,0.0002950700053199271,0.0005300000000000001,0.00026176856374115863
32.65625,0.0002976634247880915,0.0006200000000000001,0.0002903364295635775
32.96875,0.00030032386699326295,0.00062,0.00032500702078591345
33.28125,0.0003033153806492078,0.00064,0.0003283002186022661
33.59375,0.0003070094038674146,0.00072,0.0003571716259994662
33.90625,0.0003118598075632403,0.00067,0.00034715040396827914
34.21875,0.0003183883876260886,0.00075,0.00037888793636359474
34.53125,0.0003271754470938783,0.00062,0.00032238012292814416
34.84375,0.00033885226083322546,0.0005400000000000001,0.0003039220891732347
35.15625,0.00035409334284881367,0.0005700000000000001,0.0003259072143095029
35.46875,0.0003736069246030003,0.0005800000000000001,0.000369459564159945
35.78125,0.00039812217498147397,0.0006000000000000001,0.0004025226968733297
36.09375,0.00042837164026212216,0.0005600000000000001,0.00037339641564478586
36.40625,0.0004650672960786961,0.0006100000000000001,0.0004609525713472917
36.71875,0.0005088685969948994,0.00055,0.00047409750220371154
37.03125,0.0005603410862756026,0.0007000000000000001,0.0006156793684220828
37.34375,0.0006199045875325634,0.0006000000000000001,0.0006188580962764498
37.65625,0.000687770832022491,0.0005500000000000001,0.0005984226521652107
37.96875,0.0007638716509085322,0.00075,0.0006905262842023736
38.28125,0.000847780609337552,0.0008600000000000001,0.0009426130096855398
38.59375,0.0009386331369336904,0.00072,0.0007938997008351161
38.90625,0.001035052673246448,0.0008200000000000001,0.0010593518143695183
39.21875,0.0011350928223780364,0.00088,0.0011293914544944763
39.53125,0.001236207579405507,0.00078,0.0012053294521836557
39.84375,0.0013352628015964668,0.00108,0.0016180080636718846
40.15625,0.0014286016208602652,0.00096,0.0014743051746442157
40.46875,0.0015121738265844286,0.00112,0.0016279047954898267
40.78125,0.0015817339641452921,0.00098,0.0015248272433942207
41.09375,0.0016331049318623755,0.00099,0.0016322551778431697
41.40625,0.0016624937016263804,0.00117,0.0016749795289496944
41.71875,0.001666834587286993,0.00123,0.0018170685687475935
42.03125,0.0016441250549268861,0.0010600000000000002,0.0014393827930688867
42.34375,0.0015937116991194852,0.00103,0.0014652526203440088
42.65625,0.0015164820625473581,0.00128,0.0016020620470551103
42.96875,0.0014149233165444738,0.0010899999999999998,0.0013062965011403946
43.28125,0.0012930221716065842,0.00093,0.0016047655127704357
43.59375,0.0011560008081975602,0.00083,0.0007353202336963269
43.90625,0.001009908294806806,0.0009,0.0008817813518436017
44.21875,0.0008611114858099039,0.0008200000000000001,0.0009670590540466711
44.53125,0.0007157485888117388,0.00076,0.0005512256014454629
44.84375,0.0005792177474290221,0.00056,0.0007430047494905429
45.15625,0.00045576919832503843,0.00033,0.00028285842370665666
