y,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.178597886139041e-08,0.0,0.0
0.46875,1.504324969299635e-08,0.0,0.0
0.78125,1.9371128593019386e-08,0.0,0.0
1.09375,2.52620544692886e-08,0.0,0.0
1.40625,3.352086816029062e-08,0.0,0.0
1.71875,4.5516086932696344e-08,0.0,0.0
2.03125,6.367324097938416e-08,0.0,0.0
2.34375,9.247817590216918e-08,0.0,0.0
2.65625,1.4058683384127023e-07,0.0,0.0
2.96875,2.253977318209663e-07,0.0,0.0
3.28125,3.8321429091187454e-07,0.0,0.0
3.59375,6.922411610553219e-07,0.0,0.0
3.90625,1.3250602794500884e-06,0.0,0.0
4.21875,2.6678773193273104e-06,0.0,0.0
4.53125,5.58605707816419e-06,0.0,0.0
4.84375,1.1991693985986229e-05,3.0000000000000004e-05,1.3521713465140262e-06
5.15625,2.5976666199319275e-05,4e-05,2.165349947503009e-06
5.46875,5.5843769505400705e-05,8e-05,9.233279346895413e-06
5.78125,0.00011716422006489128,5e-05,2.5214427188721833e-06
6.09375,0.000236058670024795,0.0002,2.014857364873512e-05
6.40625,0.00044987352874036236,0.0005000000000000002,0.00029123611374056075
6.71875,0.000800074567514136,0.0016600000000000002,0.0007120827404164878
7.03125,0.001312662763169471,0.0035600000000000007,0.0012446320372147496
7.34375,0.0019690096757663364,0.0056700000000000006,0.0020142740987208452
7.65625,0.002683731279431997,0.006749999999999999,0.002735371125001762
7.96875,0.003313665496743432,0.007770000000000002,0.003524945547268914
8.28125,0.003707444292506916,0.00736,0.003632240993765171
8.59375,0.003772423876281723,0.0074399999999999996,0.0037639969511982212
8.90625,0.003515393811703782,0.0068000000000000005,0.003476452773155404
9.21875,0.0030306356146967525,0.005809999999999999,0.0030366768142506273
9.53125,0.0024487478886101566,0.0048000000000000004,0.0025622132966505815
9.84375,0.0018832931066812136,0.0034500000000000004,0.001942343887934868
10.15625,0.0014028231060889335,0.002470000000000001,0.001445546077016632
10.46875,0.001031051097057412,0.0018800000000000004,0.0010362717822502894
10.78125,0.0007620367114662939,0.0011800000000000007,0.0005492925501103852
11.09375,0.0005767187679998583,0.001180000000000001,0.0005087492752831415
11.40625,0.00045410921673413445,0.0012500000000000005,0.0005473345705163168
11.71875,0.00037658625754364726,0.0010500000000000004,0.0003893046889117832
12.03125,0.0003312806575467377,0.0011900000000000003,0.00034758250109163263
12.34375,0.00030960731057610215,0.001180000000000001,0.00033919924542157585
12.65625,0.00030621211819737023,0.0011900000000000005,0.0002946413703326717
12.96875,0.0003178907518346275,0.0015400000000000004,0.0003653971951698068
13.28125,0.000342621912777364,0.0014100000000000004,0.00033999432763015015
13.59375,0.0003786912356170011,0.0018800000000000004,0.0004486659361492061
13.90625,0.00042387038468451083,0.0019500000000000006,0.00045350306855431035
14.21875,0.0004746957202533954,0.0021200000000000004,0.00046536138194675603
14.53125,0.0005260120054533656,0.002620000000000001,0.0005563107079513893
14.84375,0.0005710383921905637,0.0029300000000000003,0.0005738753681873346
15.15625,0.0006021793118207728,0.0033900000000000007,0.0006173701004890139
15.46875,0.000612569481450988,0.003989999999999999,0.000693180675567583
15.78125,0.0005979549652277117,0.00358,0.0006493597408301934
16.09375,0.0005581812745107101,0.00298,0.0005583842079833301
16.40625,0.0004975600356134756,0.0027800000000000012,0.0005579418672733761
16.71875,0.0004238278245153002,0.00199,0.0004301527065938748
17.03125,0.00034607965239567075,0.0013900000000000006,0.00033029661467324893
17.34375,0.00027253283605672073,0.0013500000000000007,0.0003196456467039237
17.65625,0.00020895878570045226,0.0008300000000000004,0.00018329632080189498
17.96875,0.00015817656623700027,0.0006400000000000005,0.00014008765924849648
18.28125,0.00012047028914979276,0.0006400000000000004,0.00013337493000356034
18.59375,9.448427269367433e-05,0.0003800000000000002,8.57098119070473e-05
18.90625,7.814722278237669e-05,0.0005100000000000003,0.00010770609909868256
19.21875,6.935940425144465e-05,0.0004200000000000003,0.00010027310982981308
19.53125,6.637872419108814e-05,0.00027000000000000006,6.107011969938335e-05
19.84375,6.796676829628536e-05,0.00026000000000000003,3.889907070623806e-05
20.15625,7.339416185300934e-05,0.0003600000000000002,0.00011900758366437847
20.46875,8.239023068646588e-05,0.00031000000000000016,9.959670636914015e-05
20.78125,9.509107802188163e-05,0.0003200000000000001,8.65041494113993e-05
21.09375,0.00011201366224852368,0.0003000000000000001,0.00010551585557715834
21.40625,0.00013406750207266586,0.0003200000000000001,0.00013350248678028844
21.71875,0.00016260888886412487,0.0003600000000000003,0.0001523700800912377
22.03125,0.00019954154019555194,0.0005000000000000003,0.00017009029743637332
22.34375,0.0002474695836035908,0.0005600000000000005,0.0002613189060485175
22.65625,0.0003099117549558747,0.0006200000000000005,0.0004351515784571133
22.96875,0.00039158859724412113,0.0006400000000000005,0.0004250169330101999
23.28125,0.0004987963712736928,0.0008300000000000004,0.0005722482662270484
23.59375,0.0006398813198442392,0.0009400000000000006,0.0006978354881296353
23.90625,0.000825824439840495,0.0010900000000000005,0.0009244291082701243
24.21875,0.0010709380519772409,0.0013800000000000008,0.0011592396693012126
24.53125,0.0013936587409153467,0.0016200000000000001,0.0014916477516930952
24.84375,0.0018173939446651981,0.0018500000000000005,0.0016749493592883983
25.15625,0.002371339251815778,0.0023100000000000013,0.002210762889985104
25.46875,0.0030911294419224537,0.003260000000000001,0.003449728557980664
25.78125,0.004019120691553145,0.0038000000000000004,0.004086727074546273
26.09375,0.0052040314650477456,0.004839999999999997,0.005326329507107485
26.40625,0.006699609739230534,0.006419999999999993,0.0070619062556427714
26.71875,0.008561966777453571,0.00793,0.008704304243414687
27.03125,0.010845252118605049,0.010709999999999996,0.011507169128088881
27.34375,0.013595472830584918,0.012669999999999997,0.01353860339146257
27.65625,0.01684250826678297,0.016529999999999993,0.01746542592758664
27.96875,0.020590746416310216,0.01938999999999999,0.02018247453819614
28.28125,0.02480924272612399,0.023729999999999998,0.02475445931898966
28.59375,0.029422805171186527,0.028219999999999995,0.02920871074788319
28.90625,0.034305821723396565,0.03267,0.0338273038182883
29.21875,0.03928081756313364,0.03870000000000002,0.04026789454396736
29.53125,0.04412351134285915,0.041970000000000014,0.04379394971823893
29.84375,0.04857543793288843,0.04586000000000001,0.04863142951274142
30.15625,0.05236403229987238,0.04797000000000002,0.05163525093779834
30.46875,0.05522858286094573,0.05064999999999999,0.055492739073888867
30.78125,0.05694896219028625,0.05103999999999999,0.05648859426638916
31.09375,0.05737291447838218,0.05164,0.05749158678822942
31.40625,0.05643729241278964,0.050950000000000016,0.056829349468535996
31.71875,0.05417922064524926,0.04788999999999999,0.053522270651357354
32.03125,0.050734707056462394,0.04602000000000001,0.05106628321376297
32.34375,0.04632444003669848,0.042760000000000006,0.0468851586275287
32.65625,0.0412288962044605,0.03706,0.040539120706895325
32.96875,0.03575685658636939,0.03269,0.035448415156217584
33.28125,0.030212506106394234,0.027780000000000006,0.030162432742799672
33.59375,0.024866233639175256,0.022339999999999995,0.024540342247408992
33.90625,0.019933133687535312,0.0171,0.019309090205396427
34.21875,0.015561387049503972,0.013619999999999998,0.015645477467831254
34.53125,0.01183066823055209,0.01036,0.012051279956760272
34.84375,0.008758983044311856,0.00737,0.008520619892902178
35.15625,0.006315224185207366,0.00522,0.005956844369404194
35.46875,0.004434370292125302,0.003969999999999999,0.004447911819974964
35.78125,0.0030325596030313894,0.0030800000000000003,0.00334744388901447
36.09375,0.002020016071220954,0.00217,0.0022955630328529613
36.40625,0.0013107203186735047,0.00126,0.0013327323629698919
36.71875,0.0008285632436130599,0.0007700000000000001,0.0008566622572614238
37.03125,0.0005103460588036248,0.00041000000000000015,0.0005001004692504269
37.34375,0.0003063437687617169,0.00024,0.00024756183040453234
37.65625,0.00017925446410610663,0.0001,9.857055644093276e-05
37.96875,0.00010228398170889728,2e-05,2.679276475950362e-05
38.28125,5.6945949002254335e-05,8e-05,6.491449023038027e-05
38.59375,3.096085580305621e-05,0.0,0.0
38.90625,1.6461544904132528e-05,1e-05,1.2856800152306753e-05
39.21875,8.579496433842837e-06,1e-05,9.69356019509423e-06
39.53125,4.4009756602265916e-06,1e-05,9.055849533993613e-06
39.84375,2.237693338323749e-06,0.0,0.0
40.15625,1.1415953207657586e-06,0.0,0.0
40.46875,5.961840561911362e-07,0.0,0.0
40.78125,3.281424727612159e-07,0.0,0.0
41.09375,1.9678612922412478e-07,0.0,0.0
