y,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.178597886139041e-08,0.0,0.0
0.46875,1.504324969299635e-08,0.0,0.0
0.78125,1.9371128593019386e-08,0.0,0.0
1.09375,2.52620544692886e-08,0.0,0.0
1.40625,3.352086816029062e-08,0.0,0.0
1.71875,4.5516086932696344e-08,0.0,0.0
2.03125,6.367324097938416e-08,0.0,0.0
2.34375,9.247817590216918e-08,0.0,0.0
2.65625,1.4058683384127023e-07,0.0,0.0
2.96875,2.253977318209663e-07,0.0,0.0
3.28125,3.8321429091187454e-07,0.0,0.0
3.59375,6.922411610553219e-07,0.0,0.0
3.90625,1.3250602794500884e-06,0.0,0.0
4.21875,2.6678773193273104e-06,0.0,0.0
4.53125,5.58605707816419e-06,0.0,0.0
4.84375,1.1991693985986229e-05,0.0,0.0
5.15625,2.5976666199319275e-05,0.0,0.0
5.46875,5.5843769505400705e-05,0.0,0.0
5.78125,0.00011716422006489128,1e-05,1.566371524768596e-05
6.09375,0.000236058670024795,3.0000000000000004e-05,0.0
6.40625,0.00044987352874036236,0.00014000000000000001,0.0001173904748093862
6.71875,0.000800074567514136,0.00044000000000000007,0.0004705337731418136
7.03125,0.001312662763169471,0.0008600000000000001,0.0006538657442085176
7.34375,0.0019690096757663364,0.0008300000000000002,0.0004195091778939321
7.65625,0.002683731279431997,0.0012600000000000005,9.613591330492157e-05
7.96875,0.003313665496743432,0.0013100000000000004,8.138019135212934e-05
8.28125,0.003707444292506916,0.00178,0.0003656542627204531
8.59375,0.003772423876281723,0.002330000000000001,0.0013578833224492366
8.90625,0.003515393811703782,0.002670000000000001,0.003342904894224465
9.21875,0.0030306356146967525,0.0024100000000000002,0.0031832105616388003
9.53125,0.0024487478886101566,0.0015400000000000004,0.0014720843279393916
9.84375,0.0018832931066812136,0.0013500000000000005,0.0010757273695084042
10.15625,0.0014028231060889335,0.0009100000000000002,0.0006617147842757091
10.46875,0.001031051097057412,0.0005800000000000002,0.0004576220555581132
10.78125,0.0007620367114662939,0.0004200000000000001,0.00028937489992275156
11.09375,0.0005767187679998583,0.0004700000000000002,0.000385197988960248
11.40625,0.00045410921673413445,0.00032,0.0003304435261568643
11.71875,0.00037658625754364726,0.00027000000000000006,0.00023739685111739291
12.03125,0.0003312806575467377,0.00030000000000000003,0.00033483194689971397
12.34375,0.00030960731057610215,0.00019,0.000159203592420661
12.65625,0.00030621211819737023,0.00011,6.758780493067729e-05
12.96875,0.0003178907518346275,0.00016,0.00010860121098065517
13.28125,0.000342621912777364,0.00017,0.0
13.59375,0.0003786912356170011,0.00022,7.00976876227758e-05
13.90625,0.00042387038468451083,0.0003100000000000001,0.00020119207806094388
14.21875,0.0004746957202533954,0.00023,0.00021914916160837848
14.53125,0.0005260120054533656,0.0004100000000000002,0.0005460736630936079
14.84375,0.0005710383921905637,0.0005100000000000004,0.0005938835217123073
15.15625,0.0006021793118207728,0.0004500000000000002,0.0004568366656171721
15.46875,0.000612569481450988,0.0006600000000000004,0.0006201010600066959
15.78125,0.0005979549652277117,0.0005600000000000003,0.0005446189607352808
16.09375,0.0005581812745107101,0.0006000000000000005,0.0006489059893373061
16.40625,0.0004975600356134756,0.0004600000000000002,0.000571783188450437
16.71875,0.0004238278245153002,0.0002900000000000001,0.00038282324651250774
17.03125,0.00034607965239567075,0.00030000000000000014,0.0004031768514390622
17.34375,0.00027253283605672073,0.00023,0.0003128136399450567
17.65625,0.00020895878570045226,0.00018,0.00023846097107553394
17.96875,0.00015817656623700027,0.00013000000000000002,0.00015746110745514476
18.28125,0.00012047028914979276,0.0001,0.00010342047700074204
18.59375,9.448427269367433e-05,8e-05,6.906043279135533e-05
18.90625,7.814722278237669e-05,0.00011,7.526818324728379e-05
19.21875,6.935940425144465e-05,7.000000000000001e-05,5.352986203030295e-05
19.53125,6.637872419108814e-05,0.00015000000000000001,8.279454090871271e-05
19.84375,6.796676829628536e-05,9e-05,6.32434560283953e-05
20.15625,7.339416185300934e-05,0.0001,6.885736830323342e-05
20.46875,8.239023068646588e-05,8e-05,6.845464559560193e-05
20.78125,9.509107802188163e-05,9e-05,6.237080782918244e-05
21.09375,0.00011201366224852368,0.00021,0.0001897678946689835
21.40625,0.00013406750207266586,0.0002900000000000001,0.00022484353980937763
21.71875,0.00016260888886412487,0.00015000000000000001,0.00012058971167698245
22.03125,0.00019954154019555194,0.00031000000000000016,0.0002022193250059144
22.34375,0.0002474695836035908,0.0003600000000000002,0.0002548101543526042
22.65625,0.0003099117549558747,0.0004900000000000002,0.00034518880388323175
22.96875,0.00039158859724412113,0.0005700000000000002,0.0003968531345562861
23.28125,0.0004987963712736928,0.0007000000000000003,0.0005119349553275865
23.59375,0.0006398813198442392,0.0008500000000000004,0.000608721109242386
23.90625,0.000825824439840495,0.0011800000000000005,0.0009315846755610369
24.21875,0.0010709380519772409,0.0015700000000000004,0.0013085866929887923
24.53125,0.0013936587409153467,0.00167,0.0014278840803334631
24.84375,0.0018173939446651981,0.00184,0.0017058456310381014
25.15625,0.002371339251815778,0.0028100000000000004,0.002618691285752204
25.46875,0.0030911294419224537,0.00315,0.0030178071139404846
25.78125,0.004019120691553145,0.004109999999999998,0.004059020507013108
26.09375,0.0052040314650477456,0.005529999999999999,0.005527366722187229
26.40625,0.006699609739230534,0.0071699999999999976,0.007266515709019786
26.71875,0.008561966777453571,0.008229999999999996,0.008392097086537618
27.03125,0.010845252118605049,0.010909999999999998,0.011150433229528165
27.34375,0.013595472830584918,0.013359999999999997,0.013588509691698728
27.65625,0.01684250826678297,0.017159999999999998,0.017450809414917275
27.96875,0.020590746416310216,0.02074,0.02089618596437535
28.28125,0.02480924272612399,0.025049999999999996,0.025139034231376308
28.59375,0.029422805171186527,0.0303,0.030263343408841473
28.90625,0.034305821723396565,0.03470000000000001,0.03456645764671844
29.21875,0.03928081756313364,0.039820000000000015,0.03962110965451168
29.53125,0.04412351134285915,0.04573,0.04544731512462341
29.84375,0.04857543793288843,0.049720000000000014,0.049583277040005605
30.15625,0.05236403229987238,0.05354000000000002,0.05343045493406216
30.46875,0.05522858286094573,0.05642000000000002,0.05646406697060793
30.78125,0.05694896219028625,0.05802,0.058264983061149946
31.09375,0.05737291447838218,0.058609999999999995,0.05899795011361404
31.40625,0.05643729241278964,0.0573,0.05791627969077948
31.71875,0.05417922064524926,0.05378,0.054402148640616516
32.03125,0.050734707056462394,0.05139,0.05213760570082622
32.34375,0.04632444003669848,0.04626,0.047033936991270286
32.65625,0.0412288962044605,0.04064,0.04133635648051387
32.96875,0.03575685658636939,0.036230000000000005,0.03702169380408959
33.28125,0.030212506106394234,0.030109999999999998,0.03073547939853772
33.59375,0.024866233639175256,0.02503,0.025589458766627243
33.90625,0.019933133687535312,0.02022,0.020694960496324282
34.21875,0.015561387049503972,0.015719999999999998,0.016048354653178398
34.53125,0.01183066823055209,0.012019999999999996,0.012209220630133091
34.84375,0.008758983044311856,0.00882,0.008952099839782183
35.15625,0.006315224185207366,0.0063399999999999975,0.006327667417412498
35.46875,0.004434370292125302,0.00463,0.00466465360737498
35.78125,0.0030325596030313894,0.0033300000000000005,0.0032601129359111428
36.09375,0.002020016071220954,0.0020800000000000007,0.0020410248338797762
36.40625,0.0013107203186735047,0.0014300000000000003,0.0013604675422973606
36.71875,0.0008285632436130599,0.0008500000000000001,0.0008063260401903556
37.03125,0.0005103460588036248,0.0007200000000000002,0.0006758136060742856
37.34375,0.0003063437687617169,0.00019,0.0001743421335046995
37.65625,0.00017925446410610663,0.00015000000000000001,0.00014211100379844308
37.96875,0.00010228398170889728,0.00015000000000000001,0.0001476601117041519
38.28125,5.6945949002254335e-05,5e-05,3.893879431221813e-05
38.59375,3.096085580305621e-05,2e-05,1.0732305866487155e-05
38.90625,1.6461544904132528e-05,0.0,0.0
39.21875,8.579496433842837e-06,0.0,0.0
39.53125,4.4009756602265916e-06,0.0,0.0
39.84375,2.237693338323749e-06,0.0,0.0
40.15625,1.1415953207657586e-06,0.0,0.0
40.46875,5.961840561911362e-07,0.0,0.0
40.78125,3.281424727612159e-07,0.0,0.0
41.09375,1.9678612922412478e-07,0.0,0.0
41.40625,1.3155100009303414e-07,0.0,0.0
41.71875,9.786834354046168e-08,0.0,0.0
42.03125,7.914762254563342e-08,0.0,0.0
42.34375,6.75576269810512e-08,0.0,0.0
42.65625,5.944407101756517e-08,0.0,0.0
