y,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.178597886139041e-08,0.0,0.0
0.46875,1.504324969299635e-08,0.0,0.0
0.78125,1.9371128593019386e-08,0.0,0.0
1.09375,2.52620544692886e-08,0.0,0.0
1.40625,3.352086816029062e-08,0.0,0.0
1.71875,4.5516086932696344e-08,0.0,0.0
2.03125,6.367324097938416e-08,0.0,0.0
2.34375,9.247817590216918e-08,0.0,0.0
2.65625,1.4058683384127023e-07,0.0,0.0
2.96875,2.253977318209663e-07,0.0,0.0
3.28125,3.8321429091187454e-07,0.0,0.0
3.59375,6.922411610553219e-07,0.0,0.0
3.90625,1.3250602794500884e-06,0.0,0.0
4.21875,2.6678773193273104e-06,0.0,0.0
4.53125,5.58605707816419e-06,0.0,0.0
4.84375,1.1991693985986229e-05,0.0,0.0
5.15625,2.5976666199319275e-05,1e-05,1.4412440775974388e-05
5.46875,5.5843769505400705e-05,8e-05,5.9105666234475666e-05
5.78125,0.00011716422006489128,0.00027000000000000006,0.00013909576291651276
6.09375,0.000236058670024795,0.00034000000000000013,0.00018148944323030772
6.40625,0.00044987352874036236,0.0008400000000000003,0.0005371682344476839
6.71875,0.000800074567514136,0.00116,0.0009023793177462898
7.03125,0.001312662763169471,0.0011700000000000007,0.0011768524958648216
7.34375,0.0019690096757663364,0.0016200000000000008,0.0019976674030511388
7.65625,0.002683731279431997,0.0016900000000000005,0.0024967094718705124
7.96875,0.003313665496743432,0.002240000000000001,0.0037434135291184627
8.28125,0.003707444292506916,0.002510000000000001,0.004011765646533513
8.59375,0.003772423876281723,0.0023000000000000013,0.003517580358307916
8.90625,0.003515393811703782,0.002660000000000001,0.003455273354099981
9.21875,0.0030306356146967525,0.00286,0.003162771157214603
9.53125,0.0024487478886101566,0.002380000000000001,0.002453690707929848
9.84375,0.0018832931066812136,0.00177,0.0018618702697073889
10.15625,0.0014028231060889335,0.0012400000000000002,0.001382301080848809
10.46875,0.001031051097057412,0.0008600000000000004,0.000988453272707617
10.78125,0.0007620367114662939,0.0006000000000000002,0.0006949132637474494
11.09375,0.0005767187679998583,0.0004700000000000002,0.0005510658789652448
11.40625,0.00045410921673413445,0.0004200000000000002,0.0004377809375373724
11.71875,0.00037658625754364726,0.00036000000000000013,0.00035092019739301833
12.03125,0.0003312806575467377,0.00028000000000000003,0.00036568456940020945
12.34375,0.00030960731057610215,0.00021,0.00023372948482135674
12.65625,0.00030621211819737023,0.00033000000000000016,0.0003627688495835446
12.96875,0.0003178907518346275,0.00022,0.00022712578327042856
13.28125,0.000342621912777364,0.00031000000000000005,0.00031996013388863373
13.59375,0.0003786912356170011,0.00026000000000000003,0.0002937440277110938
13.90625,0.00042387038468451083,0.00040000000000000024,0.0004174189185469865
14.21875,0.0004746957202533954,0.0005200000000000003,0.0005692453906760976
14.53125,0.0005260120054533656,0.0004900000000000002,0.0005387951748696985
14.84375,0.0005710383921905637,0.0005200000000000003,0.0005202215673005885
15.15625,0.0006021793118207728,0.0006200000000000003,0.0006143281385989737
15.46875,0.000612569481450988,0.0006700000000000005,0.0006311960935309894
15.78125,0.0005979549652277117,0.0006700000000000005,0.0006235936604359311
16.09375,0.0005581812745107101,0.0005800000000000003,0.00052857209567597
16.40625,0.0004975600356134756,0.0005300000000000003,0.0005121865830941913
16.71875,0.0004238278245153002,0.00039000000000000026,0.00037868933800200717
17.03125,0.00034607965239567075,0.00027000000000000006,0.0002852951297578662
17.34375,0.00027253283605672073,0.00018,0.0001823704370531257
17.65625,0.00020895878570045226,0.00021,0.00022202674922509647
17.96875,0.00015817656623700027,0.00015000000000000001,0.00013850279309123001
18.28125,0.00012047028914979276,5e-05,5.032588093740238e-05
18.59375,9.448427269367433e-05,5e-05,4.3800152182397896e-05
18.90625,7.814722278237669e-05,8e-05,5.944169949909002e-05
19.21875,6.935940425144465e-05,0.0001,7.456706039478553e-05
19.53125,6.637872419108814e-05,7.000000000000001e-05,5.040157408496859e-05
19.84375,6.796676829628536e-05,6e-05,2.8286415922463557e-05
20.15625,7.339416185300934e-05,9e-05,6.299228603558825e-05
20.46875,8.239023068646588e-05,0.00011,7.27992567581924e-05
20.78125,9.509107802188163e-05,0.00012,0.00010017034225130942
21.09375,0.00011201366224852368,0.00015000000000000001,0.0001037930373895574
21.40625,0.00013406750207266586,0.00024,0.00020032342951314507
21.71875,0.00016260888886412487,0.00019,0.00017752660311578836
22.03125,0.00019954154019555194,0.0002,0.00017362736086465856
22.34375,0.0002474695836035908,0.00037000000000000016,0.00031434926214258526
22.65625,0.0003099117549558747,0.00027000000000000006,0.0002577065704782909
22.96875,0.00039158859724412113,0.00047000000000000026,0.0004435344009499624
23.28125,0.0004987963712736928,0.00044000000000000023,0.0004372212378792896
23.59375,0.0006398813198442392,0.0007100000000000002,0.0007238188677818866
23.90625,0.000825824439840495,0.0007900000000000001,0.000822996338988418
24.21875,0.0010709380519772409,0.0011200000000000006,0.0011433129039041376
24.53125,0.0013936587409153467,0.0013200000000000004,0.0014311664834427617
24.84375,0.0018173939446651981,0.0017300000000000004,0.0018710689915634332
25.15625,0.002371339251815778,0.002140000000000001,0.0023021321750582814
25.46875,0.0030911294419224537,0.00287,0.0030521821123790753
25.78125,0.004019120691553145,0.0036500000000000005,0.003847133036181381
26.09375,0.0052040314650477456,0.004949999999999996,0.005186266956203854
26.40625,0.006699609739230534,0.0062,0.006462633520881256
26.71875,0.008561966777453571,0.00858,0.008811752200323512
27.03125,0.010845252118605049,0.0101,0.010258415607420622
27.34375,0.013595472830584918,0.013609999999999997,0.01376099927539047
27.65625,0.01684250826678297,0.017129999999999996,0.017236754028578976
27.96875,0.020590746416310216,0.02043,0.020476318455481965
28.28125,0.02480924272612399,0.02557,0.025673384056217163
28.59375,0.029422805171186527,0.02908,0.02922332026720121
28.90625,0.034305821723396565,0.034530000000000005,0.03475693715353618
29.21875,0.03928081756313364,0.03940000000000001,0.03979505371286642
29.53125,0.04412351134285915,0.042850000000000006,0.043360823646933395
29.84375,0.04857543793288843,0.04893000000000001,0.04953283869852743
30.15625,0.05236403229987238,0.052430000000000004,0.05301533877608003
30.46875,0.05522858286094573,0.05453999999999999,0.054956956846044284
30.78125,0.05694896219028625,0.05598999999999999,0.05620414567849624
31.09375,0.05737291447838218,0.056490000000000005,0.05643541602073261
31.40625,0.05643729241278964,0.056790000000000014,0.056269311128004346
31.71875,0.05417922064524926,0.05506,0.05413868076795417
32.03125,0.050734707056462394,0.05271000000000001,0.05133483494136011
32.34375,0.04632444003669848,0.04822,0.046610963397468536
32.65625,0.0412288962044605,0.043340000000000004,0.041617350025597744
32.96875,0.03575685658636939,0.03757,0.03596148041408055
33.28125,0.030212506106394234,0.03175000000000001,0.030376606590306728
33.59375,0.024866233639175256,0.02484,0.02378450233953298
33.90625,0.019933133687535312,0.020269999999999996,0.01953258474435594
34.21875,0.015561387049503972,0.01612,0.015606111331666978
34.53125,0.01183066823055209,0.011679999999999998,0.011494685258337488
34.84375,0.008758983044311856,0.00902,0.008900559874249883
35.15625,0.006315224185207366,0.006220000000000001,0.006204033726861291
35.46875,0.004434370292125302,0.004489999999999998,0.004525991857343004
35.78125,0.0030325596030313894,0.0029400000000000003,0.002941705417787994
36.09375,0.002020016071220954,0.002130000000000001,0.002196537218688601
36.40625,0.0013107203186735047,0.0011,0.0011525179838383756
36.71875,0.0008285632436130599,0.0008100000000000001,0.0008791758184869703
37.03125,0.0005103460588036248,0.00046000000000000007,0.0005141714701450831
37.34375,0.0003063437687617169,0.00030000000000000003,0.0003700525593710454
37.65625,0.00017925446410610663,0.00022,0.00034479993545321854
37.96875,0.00010228398170889728,7.000000000000001e-05,0.00011471643645034371
38.28125,5.6945949002254335e-05,0.0,0.0
38.59375,3.096085580305621e-05,2e-05,4.369171040597404e-05
38.90625,1.6461544904132528e-05,0.0,0.0
39.21875,8.579496433842837e-06,0.0,0.0
39.53125,4.4009756602265916e-06,0.0,0.0
39.84375,2.237693338323749e-06,0.0,0.0
40.15625,1.1415953207657586e-06,1e-05,1.076786285522131e-05
40.46875,5.961840561911362e-07,0.0,0.0
40.78125,3.281424727612159e-07,0.0,0.0
41.09375,1.9678612922412478e-07,0.0,0.0
41.40625,1.3155100009303414e-07,0.0,0.0
41.71875,9.786834354046168e-08,0.0,0.0
42.03125,7.914762254563342e-08,0.0,0.0
