x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,1e-05,4.361722983793199e-06
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,0.0,0.0
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,0.0,0.0
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,0.0,0.0
8.28125,1.8511938163866116e-06,0.0,0.0
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,1e-05,4.759037574669946e-06
9.21875,3.4461289864152573e-06,0.0,0.0
9.53125,4.292897141625699e-06,0.0,0.0
9.84375,5.375567549938924e-06,0.0,0.0
10.15625,6.762135640148408e-06,2e-05,1.147738918248609e-05
10.46875,8.540439529963858e-06,1e-05,5.1037060632216495e-06
10.78125,1.0824063199638914e-05,1e-05,4.9251977139853834e-06
11.09375,1.3760105562200454e-05,2e-05,1.26434983026227e-05
11.40625,1.7539478486886407e-05,4e-05,2.4096916842060007e-05
11.71875,2.2410659384778435e-05,4e-05,3.0166811441802825e-05
12.03125,2.869818960127992e-05,5e-05,2.8364500300304106e-05
12.34375,3.682771177211679e-05,4e-05,2.5595670475697987e-05
12.65625,4.736001612771379e-05,4e-05,2.8325937269093376e-05
12.96875,6.103745928659283e-05,0.00010000000000000002,7.252238746469449e-05
13.28125,7.884726945485467e-05,8e-05,7.037342695512667e-05
13.59375,0.00010210768846015044,0.00011000000000000002,8.031152086698348e-05
13.90625,0.0001325846267072399,0.00018,0.00015731643131472684
14.21875,0.00017264847349134598,0.00029000000000000006,0.0002761386215072171
14.53125,0.00022548277344023422,0.00030000000000000003,0.00030083262118340236
14.84375,0.0002953583647705145,0.00042000000000000007,0.0004184655004768129
15.15625,0.00038798776789796116,0.00039000000000000005,0.00036486661067900193
15.46875,0.000510974287854793,0.0005300000000000001,0.0005046186415207206
15.78125,0.0006743672093140967,0.0007700000000000001,0.0007497829564645868
16.09375,0.0008913268889969425,0.0008500000000000001,0.0008526273804279122
16.40625,0.0011788892783957587,0.0013,0.001331360504825471
16.71875,0.0015587959308270075,0.00149,0.0015477135371188447
17.03125,0.0020583205098442005,0.0020099999999999996,0.002110376216189329
17.34375,0.00271097488712712,0.0027300000000000007,0.0028729885980542705
17.65625,0.003556918114324339,0.0033000000000000004,0.003393250331298422
17.96875,0.004642825002720326,0.004240000000000001,0.004321913342208133
18.28125,0.006020908886629359,0.00558,0.005711558738284611
18.59375,0.007746753952425594,0.0074,0.007477519216326112
18.90625,0.009875622225298416,0.00986,0.00987718074313011
19.21875,0.012456989426353636,0.01249,0.01242518765557339
19.53125,0.015527260837697072,0.016730000000000002,0.016532654017634197
19.84375,0.019100938426080277,0.01926,0.01898483190768136
20.15625,0.023160942317017073,0.02266,0.022303717390728832
20.46875,0.027649281815730693,0.027880000000000002,0.027451020281093183
20.78125,0.0324597254823957,0.03344,0.03297059083504793
21.09375,0.03743439857590481,0.03827,0.03770222788128806
21.40625,0.042366187812500365,0.042710000000000005,0.04207336136519417
21.71875,0.04700833650553265,0.04789999999999999,0.04722556103747397
22.03125,0.051091630961630906,0.052480000000000006,0.051740905287142876
22.34375,0.054348205766231276,0.05472,0.05384101030788574
22.65625,0.056539473067286614,0.05742,0.056278702692227164
22.96875,0.05748436637292536,0.05897,0.057663419138071235
23.28125,0.0570833708189508,0.05879999999999999,0.05734727362023807
23.59375,0.05533398906279156,0.05649,0.055134884827951515
23.90625,0.052334460469688385,0.053369999999999994,0.05197004792801008
24.21875,0.0482745364772888,0.048850000000000005,0.047850594119560975
24.53125,0.04341449107910716,0.04365,0.042908342503441756
24.84375,0.03805574404876962,0.03790999999999999,0.03746874501402709
25.15625,0.03250795276872694,0.032920000000000005,0.03291399901478768
25.46875,0.027057835776280348,0.02701,0.02720542571170576
25.78125,0.021944274690300785,0.021990000000000003,0.022301398177183136
26.09375,0.01734265097784591,0.01692,0.017440081079083576
26.40625,0.013359368497852775,0.013059999999999999,0.013588427034262099
26.71875,0.010035605507524813,0.00974,0.010183439653263748
27.03125,0.007357946127113171,0.00726,0.007639498967716608
27.34375,0.005272877046722356,0.0049900000000000005,0.00527031278536687
27.65625,0.003702194105152125,0.0035300000000000006,0.0037338773426929548
27.96875,0.0025569648135306587,0.00277,0.002787973516289909
28.28125,0.0017485712440564354,0.00164,0.0015736863028954847
28.59375,0.00119625350250804,0.0013,0.001402532128881747
28.90625,0.0008312989101528972,0.00088,0.0009097359638543863
29.21875,0.0005984847983588944,0.0005600000000000001,0.00063055554112345
29.53125,0.00045558057534980884,0.00045,0.0004847054204359287
29.84375,0.0003717033820178489,0.00025000000000000006,0.00024890050859955557
30.15625,0.00032518140349276466,0.00033000000000000005,0.00033481249302363177
30.46875,0.0003013862629676142,0.00022999999999999998,0.0002177000991457357
30.78125,0.0002908076189663351,0.00026000000000000003,0.0004001578214628232
31.09375,0.00028749139259721083,0.0004000000000000001,0.00039350303114462227
31.40625,0.00028785905956384833,0.00032,0.0003117607560405145
31.71875,0.0002898659693281407,0.00030000000000000003,0.00029615232328533144
32.03125,0.0002924313931863969,0.00024000000000000003,0.000215532031970924
32.34375,0.0002950700053199271,0.00026000000000000003,0.0002536732374804858
32.65625,0.0002976634247880915,0.00032,0.00028428253788892693
32.96875,0.00030032386699326295,0.00023,0.00022979272604135823
33.28125,0.0003033153806492078,0.00038,0.0003450581556561599
33.59375,0.0003070094038674146,0.0004,0.0003688053031084868
33.90625,0.0003118598075632403,0.0004,0.00034869910497757953
34.21875,0.0003183883876260886,0.00030000000000000003,0.0002605746551429934
34.53125,0.0003271754470938783,0.00037000000000000005,0.000316124378504047
34.84375,0.00033885226083322546,0.00045000000000000004,0.00039966905444857093
35.15625,0.00035409334284881367,0.00047000000000000004,0.0004042109346955421
35.46875,0.0003736069246030003,0.00042,0.000366852173184743
35.78125,0.00039812217498147397,0.00044000000000000007,0.0003954359422047568
36.09375,0.00042837164026212216,0.00063,0.0005666725764106515
36.40625,0.0004650672960786961,0.00044,0.0005140581908952528
36.71875,0.0005088685969948994,0.00047000000000000004,0.00045644047297379415
37.03125,0.0005603410862756026,0.00043000000000000004,0.0004439544927915823
37.34375,0.0006199045875325634,0.0005500000000000001,0.0006134957160473073
37.65625,0.000687770832022491,0.00073,0.0008495697928484052
37.96875,0.0007638716509085322,0.0006000000000000001,0.0007262499702369513
38.28125,0.000847780609337552,0.00075,0.0009624409125631119
38.59375,0.0009386331369336904,0.0006100000000000001,0.0008067482053693536
38.90625,0.001035052673246448,0.00072,0.0009769309571023147
39.21875,0.0011350928223780364,0.00059,0.0008947640819970587
39.53125,0.001236207579405507,0.0006200000000000001,0.000990312262084575
39.84375,0.0013352628015964668,0.0008600000000000001,0.0013011960419264295
40.15625,0.0014286016208602652,0.00088,0.0014474642809872338
40.46875,0.0015121738265844286,0.00075,0.0012388243905147138
40.78125,0.0015817339641452921,0.00097,0.0017210937106772947
41.09375,0.0016331049318623755,0.00093,0.0016859937761844474
41.40625,0.0016624937016263804,0.00091,0.0016801475040556769
41.71875,0.001666834587286993,0.00087,0.0015816416398370405
42.03125,0.0016441250549268861,0.00087,0.0016943161431624784
42.34375,0.0015937116991194852,0.00086,0.0015586908459684712
42.65625,0.0015164820625473581,0.001,0.0018634908914293077
42.96875,0.0014149233165444738,0.00076,0.0013358902280837877
43.28125,0.0012930221716065842,0.00076,0.0012806940398753886
43.59375,0.0011560008081975602,0.00066,0.000997082044027639
43.90625,0.001009908294806806,0.0007000000000000001,0.0010881552503930955
44.21875,0.0008611114858099039,0.00063,0.0008321737571299329
44.53125,0.0007157485888117388,0.0005499999999999999,0.0006327120383884544
44.84375,0.0005792177474290221,0.0005,0.0006429476177939947
45.15625,0.00045576919832503843,0.00051,0.000553166146668017
