x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,0.0,0.0
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,0.0,0.0
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,0.0,0.0
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,0.0,0.0
8.28125,1.8511938163866116e-06,3.3333333333333333e-06,8.305889694966699e-06
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,0.0,0.0
9.21875,3.4461289864152573e-06,0.0,0.0
9.53125,4.292897141625699e-06,0.0,0.0
9.84375,5.375567549938924e-06,3.3333333333333333e-06,4.413534471593475e-06
10.15625,6.762135640148408e-06,0.0,0.0
10.46875,8.540439529963858e-06,0.0,0.0
10.78125,1.0824063199638914e-05,0.0,0.0
11.09375,1.3760105562200454e-05,0.0,0.0
11.40625,1.7539478486886407e-05,1.3333333333333333e-05,2.914426488026859e-05
11.71875,2.2410659384778435e-05,9.999999999999999e-06,1.8118221993962717e-05
12.03125,2.869818960127992e-05,1.6666666666666667e-05,2.8024857848710986e-05
12.34375,3.682771177211679e-05,2.3333333333333336e-05,3.5709918667718984e-05
12.65625,4.736001612771379e-05,3.6666666666666666e-05,4.9252477354998434e-05
12.96875,6.103745928659283e-05,5.333333333333334e-05,6.40950674418138e-05
13.28125,7.884726945485467e-05,6e-05,7.427038402157305e-05
13.59375,0.00010210768846015044,9e-05,9.885733002640118e-05
13.90625,0.0001325846267072399,0.00012666666666666666,0.0001344159783567532
14.21875,0.00017264847349134598,0.0001466666666666667,0.0001430100579184659
14.53125,0.00022548277344023422,0.00024333333333333333,0.00022652184142625743
14.84375,0.0002953583647705145,0.00035000000000000005,0.00031919283715989386
15.15625,0.00038798776789796116,0.00041,0.0003867179585417281
15.46875,0.000510974287854793,0.00059,0.000521280273411485
15.78125,0.0006743672093140967,0.0007800000000000001,0.0006863546814548601
16.09375,0.0008913268889969425,0.0010133333333333333,0.000899383008538855
16.40625,0.0011788892783957587,0.0013466666666666666,0.0012062199813930186
16.71875,0.0015587959308270075,0.0018233333333333333,0.001631217400883749
17.03125,0.0020583205098442005,0.00228,0.002063068419890157
17.34375,0.00271097488712712,0.0029433333333333334,0.0027033277541091087
17.65625,0.003556918114324339,0.003763333333333333,0.0034840560729381357
17.96875,0.004642825002720326,0.004833333333333334,0.0045340394727591115
18.28125,0.006020908886629359,0.006239999999999999,0.005990073782962463
18.59375,0.007746753952425594,0.008296666666666667,0.007979744099460255
18.90625,0.009875622225298416,0.009836666666666669,0.009556748631964753
19.21875,0.012456989426353636,0.012646666666666665,0.01239544964123573
19.53125,0.015527260837697072,0.015996666666666666,0.01576253771285016
19.84375,0.019100938426080277,0.01938666666666667,0.019175042093630048
20.15625,0.023160942317017073,0.02313,0.022988901816116812
20.46875,0.027649281815730693,0.028126666666666664,0.027922750613468387
20.78125,0.0324597254823957,0.033313333333333334,0.033117607342217914
21.09375,0.03743439857590481,0.037533333333333335,0.037331100802921256
21.40625,0.042366187812500365,0.04263666666666666,0.04247102922820404
21.71875,0.04700833650553265,0.04730333333333333,0.04714458740212938
22.03125,0.051091630961630906,0.05162,0.05151129049110915
22.34375,0.054348205766231276,0.053790000000000004,0.05389968359731838
22.65625,0.056539473067286614,0.055913333333333336,0.05625469467585363
22.96875,0.05748436637292536,0.05696333333333333,0.057424911601179206
23.28125,0.0570833708189508,0.05632999999999999,0.05684827495113357
23.59375,0.05533398906279156,0.05510999999999999,0.05565940903263752
23.90625,0.052334460469688385,0.05136,0.05188370771275702
24.21875,0.0482745364772888,0.04778,0.048146298438347265
24.53125,0.04341449107910716,0.04292666666666667,0.04322492513653436
24.84375,0.03805574404876962,0.03771,0.03775846717325775
25.15625,0.03250795276872694,0.03232666666666667,0.03228535098675543
25.46875,0.027057835776280348,0.02715,0.026964683452614338
25.78125,0.021944274690300785,0.022003333333333337,0.021749236799379276
26.09375,0.01734265097784591,0.017979999999999996,0.017718131555130356
26.40625,0.013359368497852775,0.01343,0.013125156533155815
26.71875,0.010035605507524813,0.010280000000000001,0.009993540876434776
27.03125,0.007357946127113171,0.007756666666666666,0.007531101232335097
27.34375,0.005272877046722356,0.005659999999999999,0.005471280281522956
27.65625,0.003702194105152125,0.0037333333333333333,0.003641789450088089
27.96875,0.0025569648135306587,0.0027233333333333332,0.002633121294691793
28.28125,0.0017485712440564354,0.00186,0.0017212150670053745
28.59375,0.00119625350250804,0.0011433333333333332,0.001075070389267684
28.90625,0.0008312989101528972,0.0008633333333333334,0.0008379330753526585
29.21875,0.0005984847983588944,0.0006366666666666667,0.0006593493245516211
29.53125,0.00045558057534980884,0.00045,0.0004640243742499349
29.84375,0.0003717033820178489,0.00034666666666666667,0.00038430239479826493
30.15625,0.00032518140349276466,0.00030666666666666673,0.00030041491046208803
30.46875,0.0003013862629676142,0.0003,0.00035558505113131723
30.78125,0.0002908076189663351,0.0003166666666666667,0.0003224340590323639
31.09375,0.00028749139259721083,0.00028333333333333335,0.00032747409785375983
31.40625,0.00028785905956384833,0.00027,0.00028557874632410796
31.71875,0.0002898659693281407,0.00031666666666666665,0.00031291421192195505
32.03125,0.0002924313931863969,0.0003,0.0003485828318513741
32.34375,0.0002950700053199271,0.00037666666666666664,0.0004130657673518551
32.65625,0.0002976634247880915,0.0003,0.000282841058408786
32.96875,0.00030032386699326295,0.00027666666666666665,0.00028527361376210945
33.28125,0.0003033153806492078,0.0003,0.0002751299971688162
33.59375,0.0003070094038674146,0.00037,0.0003524496256222955
33.90625,0.0003118598075632403,0.00029,0.00028822688610344527
34.21875,0.0003183883876260886,0.0003266666666666667,0.0003098193940429456
34.53125,0.0003271754470938783,0.00036333333333333335,0.00032567382823383423
34.84375,0.00033885226083322546,0.00037666666666666664,0.0003661098048389024
35.15625,0.00035409334284881367,0.00044,0.00042688129738997906
35.46875,0.0003736069246030003,0.0003966666666666667,0.00037306647853947196
35.78125,0.00039812217498147397,0.0003333333333333333,0.00033432968468998024
36.09375,0.00042837164026212216,0.00047999999999999996,0.00046579811587643097
36.40625,0.0004650672960786961,0.0005666666666666667,0.0005584166580618484
36.71875,0.0005088685969948994,0.0005766666666666667,0.0005584707576445176
37.03125,0.0005603410862756026,0.0005833333333333333,0.0005740324335841055
37.34375,0.0006199045875325634,0.00056,0.0005812425866125785
37.65625,0.000687770832022491,0.0006666666666666668,0.0006697026027752044
37.96875,0.0007638716509085322,0.0008066666666666667,0.0008124589671328348
38.28125,0.000847780609337552,0.0009000000000000001,0.0009267039590767938
38.59375,0.0009386331369336904,0.00096,0.0009885354652265678
38.90625,0.001035052673246448,0.0010033333333333333,0.0010115682796372656
39.21875,0.0011350928223780364,0.0010999999999999998,0.0011327402092349216
39.53125,0.001236207579405507,0.0011933333333333331,0.001243215846855213
39.84375,0.0013352628015964668,0.00136,0.001412789315374832
40.15625,0.0014286016208602652,0.0014133333333333333,0.0014788392037652894
40.46875,0.0015121738265844286,0.0013966666666666667,0.0014811559210965016
40.78125,0.0015817339641452921,0.0014133333333333333,0.0015119228161470236
41.09375,0.0016331049318623755,0.00142,0.0015158700630801387
41.40625,0.0016624937016263804,0.0014666666666666667,0.0016184726868931345
41.71875,0.001666834587286993,0.0014666666666666665,0.0016343593291410618
42.03125,0.0016441250549268861,0.0014333333333333333,0.001647431277815407
42.34375,0.0015937116991194852,0.0014333333333333333,0.001670675666638202
42.65625,0.0015164820625473581,0.0014033333333333333,0.0016745963603486903
42.96875,0.0014149233165444738,0.0011633333333333333,0.0013994641422309284
43.28125,0.0012930221716065842,0.001,0.001230062391618368
43.59375,0.0011560008081975602,0.0008166666666666667,0.0010560202138840008
43.90625,0.001009908294806806,0.0007933333333333334,0.0010351936410073204
