y,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.178597886139041e-08,0.0,0.0
0.46875,1.504324969299635e-08,0.0,0.0
0.78125,1.9371128593019386e-08,0.0,0.0
1.09375,2.52620544692886e-08,0.0,0.0
1.40625,3.352086816029062e-08,0.0,0.0
1.71875,4.5516086932696344e-08,0.0,0.0
2.03125,6.367324097938416e-08,0.0,0.0
2.34375,9.247817590216918e-08,0.0,0.0
2.65625,1.4058683384127023e-07,0.0,0.0
2.96875,2.253977318209663e-07,0.0,0.0
3.28125,3.8321429091187454e-07,0.0,0.0
3.59375,6.922411610553219e-07,0.0,0.0
3.90625,1.3250602794500884e-06,3.3333333333333333e-06,1.963463333827432e-06
4.21875,2.6678773193273104e-06,3.3333333333333333e-06,4.026298928024754e-06
4.53125,5.58605707816419e-06,9.999999999999999e-06,4.9689085717791406e-06
4.84375,1.1991693985986229e-05,1.3333333333333333e-05,6.501009015672659e-06
5.15625,2.5976666199319275e-05,4.6666666666666665e-05,3.260387007651249e-05
5.46875,5.5843769505400705e-05,7.666666666666668e-05,5.8796506341442276e-05
5.78125,0.00011716422006489128,0.00018999999999999998,0.00012314560310788345
6.09375,0.000236058670024795,0.00034666666666666656,0.00027881004413375296
6.40625,0.00044987352874036236,0.0004533333333333333,0.0003622020965500855
6.71875,0.000800074567514136,0.0008366666666666667,0.000811084441285477
7.03125,0.001312662763169471,0.00131,0.0013907085191600143
7.34375,0.0019690096757663364,0.0016233333333333334,0.0018706136793828784
7.65625,0.002683731279431997,0.0023066666666666665,0.0028337410666148346
7.96875,0.003313665496743432,0.0025866666666666664,0.0032646951545609202
8.28125,0.003707444292506916,0.0031233333333333347,0.003954679240833329
8.59375,0.003772423876281723,0.0030866666666666672,0.003818881957035988
8.90625,0.003515393811703782,0.0027933333333333326,0.0033441950359116694
9.21875,0.0030306356146967525,0.0026599999999999996,0.0030797684051124766
9.53125,0.0024487478886101566,0.0023,0.002526082383441386
9.84375,0.0018832931066812136,0.0018333333333333329,0.0019154114931779873
10.15625,0.0014028231060889335,0.0013366666666666666,0.0012867141852800027
10.46875,0.001031051097057412,0.0011066666666666666,0.0010027472759439608
10.78125,0.0007620367114662939,0.0008733333333333333,0.0007103566932960399
11.09375,0.0005767187679998583,0.0008100000000000003,0.0005957653027675091
11.40625,0.00045410921673413445,0.0007133333333333335,0.00047788727110983914
11.71875,0.00037658625754364726,0.0005833333333333333,0.0003688024348294024
12.03125,0.0003312806575467377,0.0006066666666666668,0.0003636885453705207
12.34375,0.00030960731057610215,0.0005500000000000002,0.0003302864504306171
12.65625,0.00030621211819737023,0.0004966666666666668,0.00031760848689310324
12.96875,0.0003178907518346275,0.0004966666666666668,0.0003347945999726253
13.28125,0.000342621912777364,0.00045999999999999996,0.0003574398853873241
13.59375,0.0003786912356170011,0.00047666666666666674,0.0004129873586297553
13.90625,0.00042387038468451083,0.00040333333333333323,0.00041634322797521277
14.21875,0.0004746957202533954,0.0003766666666666666,0.00044636149463269525
14.53125,0.0005260120054533656,0.00035666666666666664,0.0004806980789683734
14.84375,0.0005710383921905637,0.00035999999999999997,0.00055248134756592
15.15625,0.0006021793118207728,0.0003399999999999999,0.0005731222022608977
15.46875,0.000612569481450988,0.00033333333333333316,0.0006191086148910579
15.78125,0.0005979549652277117,0.00036,0.0006882481766880811
16.09375,0.0005581812745107101,0.0003166666666666666,0.0006106276557312255
16.40625,0.0004975600356134756,0.0002566666666666666,0.00048490041531293045
16.71875,0.0004238278245153002,0.0002299999999999999,0.00040119662553176456
17.03125,0.00034607965239567075,0.0001966666666666666,0.0003003040393176532
17.34375,0.00027253283605672073,0.0002099999999999999,0.0002857599515491652
17.65625,0.00020895878570045226,0.00018999999999999998,0.00021006863288073647
17.96875,0.00015817656623700027,0.00015666666666666663,0.00013932660629690106
18.28125,0.00012047028914979276,0.00014333333333333334,0.00011332450039473234
18.59375,9.448427269367433e-05,0.00017666666666666671,0.00010927369469827048
18.90625,7.814722278237669e-05,0.00012333333333333334,7.310194989770214e-05
19.21875,6.935940425144465e-05,0.00012000000000000002,6.759312350978706e-05
19.53125,6.637872419108814e-05,0.00013000000000000002,6.170569697471814e-05
19.84375,6.796676829628536e-05,0.0001333333333333333,6.8757915100742e-05
20.15625,7.339416185300934e-05,0.00013999999999999996,7.898267293077294e-05
20.46875,8.239023068646588e-05,0.00012666666666666666,8.562133386569097e-05
20.78125,9.509107802188163e-05,0.00014999999999999996,8.151390919137913e-05
21.09375,0.00011201366224852368,0.00017666666666666658,0.00011146857780713476
21.40625,0.00013406750207266586,0.00016333333333333328,0.0001235615893999005
21.71875,0.00016260888886412487,0.00017999999999999988,0.0001465533206332724
22.03125,0.00019954154019555194,0.0002566666666666666,0.00022447629497133464
22.34375,0.0002474695836035908,0.0003466666666666665,0.00028488487830758216
22.65625,0.0003099117549558747,0.0003633333333333331,0.00029264788197144715
22.96875,0.00039158859724412113,0.0005000000000000001,0.00045843494276012563
23.28125,0.0004987963712736928,0.0005766666666666673,0.000489034881089373
23.59375,0.0006398813198442392,0.0006566666666666672,0.0006038856910596944
23.90625,0.000825824439840495,0.0009833333333333335,0.0008719543347562766
24.21875,0.0010709380519772409,0.0013033333333333328,0.0011869726196568984
24.53125,0.0013936587409153467,0.001559999999999999,0.0014527588628447184
24.84375,0.0018173939446651981,0.0018499999999999994,0.001758225729752504
25.15625,0.002371339251815778,0.0024900000000000013,0.0024022248566402055
25.46875,0.0030911294419224537,0.003063333333333334,0.0029751720952796053
25.78125,0.004019120691553145,0.004133333333333335,0.004032793168920466
26.09375,0.0052040314650477456,0.005416666666666668,0.0053649244441366616
26.40625,0.006699609739230534,0.006546666666666669,0.006492318411185926
26.71875,0.008561966777453571,0.008423333333333328,0.008468149508771616
27.03125,0.010845252118605049,0.010783333333333332,0.010848511768083755
27.34375,0.013595472830584918,0.013519999999999994,0.013700221413807907
27.65625,0.01684250826678297,0.016736666666666667,0.016964105532406525
27.96875,0.020590746416310216,0.020256666666666673,0.020556152490801238
28.28125,0.02480924272612399,0.02405,0.024497922843078744
28.59375,0.029422805171186527,0.02878,0.029403753561937494
28.90625,0.034305821723396565,0.03370000000000001,0.03442237203213484
29.21875,0.03928081756313364,0.03858333333333334,0.039362264318565335
29.53125,0.04412351134285915,0.04324,0.04418336467873525
29.84375,0.04857543793288843,0.047900000000000005,0.04884195677530355
30.15625,0.05236403229987238,0.051399999999999994,0.05230254968634669
30.46875,0.05522858286094573,0.05416333333333332,0.055054308277756044
30.78125,0.05694896219028625,0.056396666666666664,0.05707968109185601
31.09375,0.05737291447838218,0.056663333333333336,0.0570888257527483
31.40625,0.05643729241278964,0.05637000000000001,0.056529365810803985
31.71875,0.05417922064524926,0.0541,0.0539400887074624
32.03125,0.050734707056462394,0.051070000000000004,0.05066333975600401
32.34375,0.04632444003669848,0.047209999999999995,0.04654854510097584
32.65625,0.0412288962044605,0.04172333333333333,0.04095156372754536
32.96875,0.03575685658636939,0.03687999999999999,0.03603337169036932
33.28125,0.030212506106394234,0.031223333333333336,0.030368342728923005
33.59375,0.024866233639175256,0.02538333333333333,0.024553736590728455
33.90625,0.019933133687535312,0.020696666666666665,0.019823679398468536
34.21875,0.015561387049503972,0.01634666666666667,0.015524309683020899
34.53125,0.01183066823055209,0.012406666666666665,0.011656400440399872
34.84375,0.008758983044311856,0.00964333333333333,0.008903047997558722
35.15625,0.006315224185207366,0.006893333333333335,0.006257999729557061
35.46875,0.004434370292125302,0.004966666666666666,0.004405202890870378
35.78125,0.0030325596030313894,0.003533333333333333,0.0030979424437629723
36.09375,0.002020016071220954,0.002476666666666666,0.0020518771028895737
36.40625,0.0013107203186735047,0.0016966666666666669,0.001359680828023713
36.71875,0.0008285632436130599,0.00106,0.0008179641027486302
37.03125,0.0005103460588036248,0.0007533333333333334,0.0005795982041411018
37.34375,0.0003063437687617169,0.0003866666666666668,0.0002807880728227013
37.65625,0.00017925446410610663,0.0002433333333333333,0.00017266655642437733
37.96875,0.00010228398170889728,0.00018999999999999998,0.0001352406391506026
38.28125,5.6945949002254335e-05,7.666666666666667e-05,6.434106937432989e-05
38.59375,3.096085580305621e-05,1.6666666666666667e-05,8.57260604955903e-06
38.90625,1.6461544904132528e-05,3.3333333333333335e-05,3.164718934416908e-05
39.21875,8.579496433842837e-06,3.3333333333333333e-06,7.909327132024715e-07
