x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,0.0,0.0
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,0.0,0.0
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,0.0,0.0
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,0.0,0.0
8.28125,1.8511938163866116e-06,0.0,0.0
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,0.0,0.0
9.21875,3.4461289864152573e-06,0.0,0.0
9.53125,4.292897141625699e-06,0.0,0.0
9.84375,5.375567549938924e-06,0.0,0.0
10.15625,6.762135640148408e-06,0.0,0.0
10.46875,8.540439529963858e-06,0.0,0.0
10.78125,1.0824063199638914e-05,0.0,0.0
11.09375,1.3760105562200454e-05,0.0,0.0
11.40625,1.7539478486886407e-05,0.0,0.0
11.71875,2.2410659384778435e-05,1e-05,0.0
12.03125,2.869818960127992e-05,1e-05,0.0
12.34375,3.682771177211679e-05,2e-05,0.0
12.65625,4.736001612771379e-05,1e-05,0.0
12.96875,6.103745928659283e-05,4e-05,4.347222288875126e-05
13.28125,7.884726945485467e-05,6e-05,6.898544853587675e-05
13.59375,0.00010210768846015044,6.000000000000001e-05,7.252193326562803e-05
13.90625,0.0001325846267072399,0.00011000000000000002,0.0001189228858726144
14.21875,0.00017264847349134598,0.00014000000000000001,0.0001453755429757136
14.53125,0.00022548277344023422,0.00017,0.00018174820926348894
14.84375,0.0002953583647705145,0.00026000000000000003,0.00025518916513898654
15.15625,0.00038798776789796116,0.00039000000000000005,0.0003569264823452602
15.46875,0.000510974287854793,0.0003600000000000001,0.00034756003278617526
15.78125,0.0006743672093140967,0.0006300000000000001,0.0005970034107217127
16.09375,0.0008913268889969425,0.0009400000000000001,0.000912451863084561
16.40625,0.0011788892783957587,0.00125,0.0011785157870050052
16.71875,0.0015587959308270075,0.0018700000000000001,0.0017877785646109984
17.03125,0.0020583205098442005,0.00213,0.002001702103947391
17.34375,0.00271097488712712,0.00267,0.002560924933852867
17.65625,0.003556918114324339,0.00373,0.003597001874029
17.96875,0.004642825002720326,0.00468,0.004624185567965166
18.28125,0.006020908886629359,0.00623,0.006178013249902737
18.59375,0.007746753952425594,0.00803,0.008001766047056597
18.90625,0.009875622225298416,0.00939,0.009342481679841759
19.21875,0.012456989426353636,0.012310000000000001,0.012363617867593844
19.53125,0.015527260837697072,0.01618,0.016309138182870515
19.84375,0.019100938426080277,0.019370000000000002,0.0193687450754981
20.15625,0.023160942317017073,0.02374,0.02377395395351029
20.46875,0.027649281815730693,0.0289,0.0288131235910326
20.78125,0.0324597254823957,0.03372,0.0335179681764011
21.09375,0.03743439857590481,0.037720000000000004,0.037396111919290674
21.40625,0.042366187812500365,0.043019999999999996,0.04273148074873561
21.71875,0.04700833650553265,0.047939999999999997,0.04764010541434245
22.03125,0.051091630961630906,0.051859999999999996,0.05172217589115525
22.34375,0.054348205766231276,0.05482,0.05501469209118807
22.65625,0.056539473067286614,0.05623,0.056598341339540094
22.96875,0.05748436637292536,0.05719,0.057901753468978516
23.28125,0.0570833708189508,0.057080000000000006,0.05788523592556314
23.59375,0.05533398906279156,0.05616,0.05694595205114844
23.90625,0.052334460469688385,0.05192,0.05276585923684134
24.21875,0.0482745364772888,0.04811,0.04875591458945608
24.53125,0.04341449107910716,0.04307999999999999,0.043775747889778435
24.84375,0.03805574404876962,0.037669999999999995,0.03824348505868806
25.15625,0.03250795276872694,0.03201999999999999,0.03255532977030814
25.46875,0.027057835776280348,0.02707,0.02766701306829063
25.78125,0.021944274690300785,0.021380000000000003,0.02191434973246056
26.09375,0.01734265097784591,0.01719,0.01765237524154584
26.40625,0.013359368497852775,0.0123,0.012745679729644578
26.71875,0.010035605507524813,0.00973,0.010105980493651358
27.03125,0.007357946127113171,0.00738,0.007627687074949078
27.34375,0.005272877046722356,0.00512,0.0053359742812901356
27.65625,0.003702194105152125,0.00343,0.0035359038986777355
27.96875,0.0025569648135306587,0.0024800000000000004,0.0025777221253490967
28.28125,0.0017485712440564354,0.0015800000000000002,0.0015391958446468914
28.59375,0.00119625350250804,0.00074,0.0007061191936476923
28.90625,0.0008312989101528972,0.00083,0.0007142745494573761
29.21875,0.0005984847983588944,0.00067,0.0005096783511160115
29.53125,0.00045558057534980884,0.00038,0.0002734270660668664
29.84375,0.0003717033820178489,0.00032,0.0002445371440907176
30.15625,0.00032518140349276466,0.00034,0.0001852469176140863
30.46875,0.0003013862629676142,0.00033000000000000005,0.0002465783231651717
30.78125,0.0002908076189663351,0.00033000000000000005,0.00017215361902246182
31.09375,0.00028749139259721083,0.00029000000000000006,0.00011590067166011773
31.40625,0.00028785905956384833,0.00023000000000000003,0.00014381815898890254
31.71875,0.0002898659693281407,0.00041000000000000005,0.0002178334481679343
32.03125,0.0002924313931863969,0.00028000000000000003,0.00014866861971247282
32.34375,0.0002950700053199271,0.00039000000000000005,0.00020742759586745774
32.65625,0.0002976634247880915,0.00032,0.00021052594525975953
32.96875,0.00030032386699326295,0.00029000000000000006,0.0001744051852576114
33.28125,0.0003033153806492078,0.0002800000000000001,0.00016318587373147182
33.59375,0.0003070094038674146,0.00038,0.0002532774445682654
33.90625,0.0003118598075632403,0.00034,0.0002319514800971743
34.21875,0.0003183883876260886,0.00034,0.00022131605701271545
34.53125,0.0003271754470938783,0.0003200000000000001,0.00020673200182520882
34.84375,0.00033885226083322546,0.00047000000000000004,0.0003622272762706687
35.15625,0.00035409334284881367,0.00045000000000000004,0.00033724399884529747
35.46875,0.0003736069246030003,0.00041000000000000005,0.00029328765351915815
35.78125,0.00039812217498147397,0.00033000000000000005,0.00022322959098258858
36.09375,0.00042837164026212216,0.00068,0.0005773680469174281
36.40625,0.0004650672960786961,0.0006100000000000001,0.0004855529479335235
36.71875,0.0005088685969948994,0.00068,0.0005942771389699632
37.03125,0.0005603410862756026,0.0008600000000000001,0.0007719942661509422
37.34375,0.0006199045875325634,0.00057,0.0005342071959125775
37.65625,0.000687770832022491,0.00075,0.000695012097478185
37.96875,0.0007638716509085322,0.00081,0.0007305925458632577
38.28125,0.000847780609337552,0.00101,0.0009207571379497407
38.59375,0.0009386331369336904,0.0010999999999999998,0.0010109946924331283
38.90625,0.001035052673246448,0.00115,0.0010893452923833914
39.21875,0.0011350928223780364,0.0012000000000000001,0.0011700794881430664
39.53125,0.001236207579405507,0.0011200000000000001,0.0010603154065975586
39.84375,0.0013352628015964668,0.0015300000000000001,0.001502291966699382
40.15625,0.0014286016208602652,0.00148,0.0014812851352591153
40.46875,0.0015121738265844286,0.00146,0.001537359870972026
40.78125,0.0015817339641452921,0.0015999999999999999,0.0017393649520217485
41.09375,0.0016331049318623755,0.00148,0.0015070296940578867
41.40625,0.0016624937016263804,0.0012799999999999999,0.0012063448891530579
41.71875,0.001666834587286993,0.0015,0.0012132515610213833
42.03125,0.0016441250549268861,0.0013,0.0011408647126249995
42.34375,0.0015937116991194852,0.00128,0.0010297010660516638
42.65625,0.0015164820625473581,0.0013,0.0009305359521365028
42.96875,0.0014149233165444738,0.00105,0.000840469064103083
43.28125,0.0012930221716065842,0.00087,0.0005626743527256746
43.59375,0.0011560008081975602,0.00079,0.000456978161360404
43.90625,0.001009908294806806,0.0007100000000000001,0.0003628857765458428
44.21875,0.0008611114858099039,0.0005400000000000001,0.0003042582123168854
44.53125,0.0007157485888117388,0.00057,0.0002598294258702928
44.84375,0.0005792177474290221,0.00043000000000000004,0.00020945833513575163
45.15625,0.00045576919832503843,0.00025,0.00012756453307060793
45.46875,0.00034825277135019066,0.00021000000000000004,8.177598797778668e-05
45.78125,0.00025804581750240067,0.00015000000000000001,7.226456683109378e-05
46.09375,0.0001851557507955927,9e-05,2.7316075357544607e-05
