x,exact_probability_per_bin,proposal_probability_per_bin,reweighted_probability_per_bin
0.15625,1.2539448185650306e-07,0.0,0.0
0.46875,1.3380254261258302e-07,0.0,0.0
0.78125,1.4263320874919904e-07,0.0,0.0
1.09375,1.519456586890289e-07,0.0,0.0
1.40625,1.6181656187552769e-07,0.0,0.0
1.71875,1.723442795240818e-07,0.0,0.0
2.03125,1.8365405502074206e-07,0.0,0.0
2.34375,1.9590446376124462e-07,0.0,0.0
2.65625,2.0929547394393888e-07,0.0,0.0
2.96875,2.2407857667896644e-07,0.0,0.0
3.28125,2.4056958334885413e-07,0.0,0.0
3.59375,2.591648703323138e-07,0.0,0.0
3.90625,2.8036208881502633e-07,0.0,0.0
4.21875,3.0478666708481976e-07,0.0,0.0
4.53125,3.3322583591811654e-07,0.0,0.0
4.84375,3.6667243203505686e-07,0.0,0.0
5.15625,4.06381415508131e-07,0.0,0.0
5.46875,4.5394291953192314e-07,0.0,0.0
5.78125,5.113767922614607e-07,0.0,0.0
6.09375,5.812550626745653e-07,0.0,0.0
6.40625,6.668606564569042e-07,0.0,0.0
6.71875,7.723931180300333e-07,0.0,0.0
7.03125,9.032352052405136e-07,0.0,0.0
7.34375,1.0662981973275468e-06,0.0,0.0
7.65625,1.2704688312977137e-06,0.0,0.0
7.96875,1.5271872687229006e-06,0.0,0.0
8.28125,1.8511938163866116e-06,0.0,0.0
8.59375,2.261492868027323e-06,0.0,0.0
8.90625,2.7825965416757505e-06,0.0,0.0
9.21875,3.4461289864152573e-06,0.0,0.0
9.53125,4.292897141625699e-06,0.0,0.0
9.84375,5.375567549938924e-06,0.0,0.0
10.15625,6.762135640148408e-06,0.0,0.0
10.46875,8.540439529963858e-06,0.0,0.0
10.78125,1.0824063199638914e-05,0.0,0.0
11.09375,1.3760105562200454e-05,0.0,0.0
11.40625,1.7539478486886407e-05,0.0,0.0
11.71875,2.2410659384778435e-05,1e-05,2.3238296896080674e-05
12.03125,2.869818960127992e-05,1e-05,1.9425618761375363e-05
12.34375,3.682771177211679e-05,2e-05,3.388021603793643e-05
12.65625,4.736001612771379e-05,1e-05,1.4993843953748797e-05
12.96875,6.103745928659283e-05,4e-05,5.769678966629742e-05
13.28125,7.884726945485467e-05,6e-05,9.318630653457589e-05
13.59375,0.00010210768846015044,6.000000000000001e-05,7.127815198792178e-05
13.90625,0.0001325846267072399,0.00011000000000000002,0.00013366913660250114
14.21875,0.00017264847349134598,0.00014000000000000001,0.0001579932191813753
14.53125,0.00022548277344023422,0.00017,0.00017863120345840911
14.84375,0.0002953583647705145,0.00026000000000000003,0.00025081261827792647
15.15625,0.00038798776789796116,0.00039000000000000005,0.00040892385439966777
15.46875,0.000510974287854793,0.0003600000000000001,0.0003415992940156181
15.78125,0.0006743672093140967,0.0006300000000000001,0.000622652959046109
16.09375,0.0008913268889969425,0.0009400000000000001,0.0009137796397384423
16.40625,0.0011788892783957587,0.00125,0.0012095295511464375
16.71875,0.0015587959308270075,0.0018700000000000001,0.0017883892604275882
17.03125,0.0020583205098442005,0.00213,0.0020676374575372115
17.34375,0.00271097488712712,0.00267,0.0025974681043752796
17.65625,0.003556918114324339,0.00373,0.0036438482317323636
17.96875,0.004642825002720326,0.00468,0.004591842587832001
18.28125,0.006020908886629359,0.00623,0.006271413096075239
18.59375,0.007746753952425594,0.00803,0.007971981226442484
18.90625,0.009875622225298416,0.00939,0.009338704654620878
19.21875,0.012456989426353636,0.012310000000000001,0.012338694230078636
19.53125,0.015527260837697072,0.01618,0.01618962876640461
19.84375,0.019100938426080277,0.019370000000000002,0.019304112097162783
20.15625,0.023160942317017073,0.02374,0.023698199408922437
20.46875,0.027649281815730693,0.0289,0.0286521558347899
20.78125,0.0324597254823957,0.03372,0.03335328102869379
21.09375,0.03743439857590481,0.037720000000000004,0.03718485126234398
21.40625,0.042366187812500365,0.043019999999999996,0.04237789308210528
21.71875,0.04700833650553265,0.047939999999999997,0.04722999619135151
22.03125,0.051091630961630906,0.051859999999999996,0.05106848752497244
22.34375,0.054348205766231276,0.05482,0.05437434455931588
22.65625,0.056539473067286614,0.05623,0.05586982205654424
22.96875,0.05748436637292536,0.05719,0.0569869054935226
23.28125,0.0570833708189508,0.057080000000000006,0.056908425890167036
23.59375,0.05533398906279156,0.05616,0.056059897894382364
23.90625,0.052334460469688385,0.05192,0.05190879438757126
24.21875,0.0482745364772888,0.04811,0.04798292399495341
24.53125,0.04341449107910716,0.04307999999999999,0.043048006808582756
24.84375,0.03805574404876962,0.037669999999999995,0.03762626870220017
25.15625,0.03250795276872694,0.03201999999999999,0.032080438268330624
25.46875,0.027057835776280348,0.02707,0.027209816384361016
25.78125,0.021944274690300785,0.021380000000000003,0.02160334279499814
26.09375,0.01734265097784591,0.01719,0.017414065597889272
26.40625,0.013359368497852775,0.0123,0.012544735570678027
26.71875,0.010035605507524813,0.00973,0.009973447194036606
27.03125,0.007357946127113171,0.00738,0.007547507634397676
27.34375,0.005272877046722356,0.00512,0.005367240448660719
27.65625,0.003702194105152125,0.00343,0.0036248622462973184
27.96875,0.0025569648135306587,0.0024800000000000004,0.002632004456157879
28.28125,0.0017485712440564354,0.0015800000000000002,0.0015855912974316127
28.59375,0.00119625350250804,0.00074,0.0007681606221737655
28.90625,0.0008312989101528972,0.00083,0.0008736079950832072
29.21875,0.0005984847983588944,0.00067,0.0007544201521975121
29.53125,0.00045558057534980884,0.00038,0.00038870315216933546
29.84375,0.0003717033820178489,0.00032,0.0003654444185581061
30.15625,0.00032518140349276466,0.00034,0.0003097913633749726
30.46875,0.0003013862629676142,0.00033000000000000005,0.0004000379680495951
30.78125,0.0002908076189663351,0.00033000000000000005,0.00029379401954568256
31.09375,0.00028749139259721083,0.00029000000000000006,0.00031751604116823733
31.40625,0.00028785905956384833,0.00023000000000000003,0.0002598316364606051
31.71875,0.0002898659693281407,0.00041000000000000005,0.0003849989540421069
32.03125,0.0002924313931863969,0.00028000000000000003,0.000288515539402143
32.34375,0.0002950700053199271,0.00039000000000000005,0.0004459637810239745
32.65625,0.0002976634247880915,0.00032,0.0002747737004942738
32.96875,0.00030032386699326295,0.00029000000000000006,0.0002892820858551887
33.28125,0.0003033153806492078,0.0002800000000000001,0.0002297255189295262
33.59375,0.0003070094038674146,0.00038,0.0003218506682153713
33.90625,0.0003118598075632403,0.00034,0.0003148760040096376
34.21875,0.0003183883876260886,0.00034,0.0002515182993000074
34.53125,0.0003271754470938783,0.0003200000000000001,0.0002764886483414009
34.84375,0.00033885226083322546,0.00047000000000000004,0.0004465804979329872
35.15625,0.00035409334284881367,0.00045000000000000004,0.00040256509408574887
35.46875,0.0003736069246030003,0.00041000000000000005,0.0003566124599566654
35.78125,0.00039812217498147397,0.00033000000000000005,0.00032610470365911776
36.09375,0.00042837164026212216,0.00068,0.0005861809614493104
36.40625,0.0004650672960786961,0.0006100000000000001,0.0005494492862930918
36.71875,0.0005088685969948994,0.00068,0.0006036363523246478
37.03125,0.0005603410862756026,0.0008600000000000001,0.0007755932758452955
37.34375,0.0006199045875325634,0.00057,0.0005443192724036787
37.65625,0.000687770832022491,0.00075,0.0007008788828460466
37.96875,0.0007638716509085322,0.00081,0.0007180627086116288
38.28125,0.000847780609337552,0.00101,0.0009252656422567088
38.59375,0.0009386331369336904,0.0010999999999999998,0.0010139850897712748
38.90625,0.001035052673246448,0.00115,0.001070662739706614
39.21875,0.0011350928223780364,0.0012000000000000001,0.00115001242059262
39.53125,0.001236207579405507,0.0011200000000000001,0.0010618625955136191
39.84375,0.0013352628015964668,0.0015300000000000001,0.0014765272617913298
40.15625,0.0014286016208602652,0.00148,0.0014558807469088582
40.46875,0.0015121738265844286,0.00146,0.0015109937581148114
40.78125,0.0015817339641452921,0.0015999999999999999,0.0017095343951294658
41.09375,0.0016331049318623755,0.00148,0.001574869199042735
41.40625,0.0016624937016263804,0.0012799999999999999,0.001417822206767326
41.71875,0.001666834587286993,0.0015,0.0017282059263781693
42.03125,0.0016441250549268861,0.0013,0.0015900429151254098
42.34375,0.0015937116991194852,0.00128,0.0016036145285734608
42.65625,0.0015164820625473581,0.0013,0.001694933021326224
42.96875,0.0014149233165444738,0.00105,0.0013567745544489033
43.28125,0.0012930221716065842,0.00087,0.0011654868460876185
43.59375,0.0011560008081975602,0.00079,0.001151230733294051
43.90625,0.001009908294806806,0.0007100000000000001,0.0010782486875711417
44.21875,0.0008611114858099039,0.0005400000000000001,0.0007943006143546602
44.53125,0.0007157485888117388,0.00057,0.000882004195864402
44.84375,0.0005792177474290221,0.00043000000000000004,0.0006948489385135792
45.15625,0.00045576919832503843,0.00025,0.00040713244362871665
45.46875,0.00034825277135019066,0.00021000000000000004,0.00035370274110970313
45.78125,0.00025804581750240067,0.00015000000000000001,0.0002373027322344321
46.09375,0.0001851557507955927,9e-05,0.000136886840591927
