top_fraction,top_percent,cumulative_weight_mass
1e-05,0.001,0.000259116553934291
2e-05,0.002,0.00037174546014284715
3e-05,0.003,0.0004491905783652328
4e-05,0.004,0.0005050252693763468
5e-05,0.005,0.0005587744526565075
6e-05,0.006,0.0006096618890296668
7e-05,0.006999999999999999,0.0006602264693356119
8e-05,0.008,0.0007052352775644977
9e-05,0.009000000000000001,0.0007365671372099314
0.0001,0.01,0.0007642657346877968
0.00011,0.011000000000000001,0.0007914665184216574
0.00012,0.012,0.000818490521851345
0.00013,0.013,0.0008402860821661307
0.00014,0.013999999999999999,0.0008617340336058987
0.00015,0.015,0.0008821611645544181
0.00016,0.016,0.0009021889582072617
0.00017,0.017,0.000921704862776096
0.00018,0.018000000000000002,0.0009409993253939319
0.00019,0.019,0.0009596400268492289
0.0002,0.02,0.000978280639174045
0.00021,0.021,0.0009969211278075818
0.00022,0.022000000000000002,0.0010155613490496762
0.00023,0.023,0.0010342015702917706
0.00024,0.024,0.0010528417751629604
0.00025,0.025,0.0010714819436543621
0.00026,0.026,0.0010901220939558698
0.00027,0.027,0.0011087622442573775
0.00028,0.027999999999999997,0.0011274023945588851
0.00029,0.029,0.0011460425284894882
0.0003,0.03,0.0011646826078504091
0.00031,0.031,0.0011833226526505314
0.00032,0.032,0.0012019626974506536
0.00033,0.033,0.001220602742250776
0.00034,0.034,0.0012392427506711101
0.00035,0.034999999999999996,0.0012578827409015503
0.00036,0.036000000000000004,0.0012765227311319904
0.00037,0.037,0.001295162704991526
0.00038,0.038,0.0013138026788510615
0.00039,0.039,0.001332442652710597
0.0004,0.04,0.0013510826083802385
0.00041,0.041,0.001369722545859986
0.00042,0.042,0.0013883624651498394
0.00043,0.043,0.0014070023680687882
0.00044,0.044000000000000004,0.001425642270987737
0.00045,0.045,0.0014442821557167917
0.00046,0.046,0.0014629220222559525
0.00047,0.047,0.0014815618887951132
0.00048,0.048,0.001500201755334274
0.00049,0.049,0.0015188416218734346
0.0005,0.05,0.0015374814884125954
0.00051,0.051000000000000004,0.001556121354951756
0.00052,0.052,0.0015747611851111287
0.00053,0.053,0.0015934010152705014
0.00054,0.054,0.001612040845429874
0.00055,0.055,0.0016306806755892467
0.00056,0.055999999999999994,0.0016493205057486193
0.00057,0.056999999999999995,0.0016679603013471933
0.00058,0.058,0.0016866000969457673
0.00059,0.059000000000000004,0.0017052398925443413
0.0006,0.06,0.0017238796881429153
0.00061,0.061,0.0017425194655515952
0.00062,0.062,0.0017611592247703811
0.00063,0.063,0.0017797989676182624
0.00064,0.064,0.0017984387104661437
0.00065,0.065,0.001817078435124131
0.00066,0.066,0.0018357181597821182
0.00067,0.067,0.0018543578844401054
0.00068,0.068,0.0018729975909081986
0.00069,0.06899999999999999,0.0018916372973762918
0.0007,0.06999999999999999,0.001910276985654491
0.00071,0.07100000000000001,0.0019289166739326902
0.00072,0.07200000000000001,0.0019475563622108893
0.00073,0.073,0.0019661960504890885
0.00074,0.074,0.0019848357205773937
0.00075,0.075,0.002003475374294794
0.00076,0.076,0.0020221150280121947
0.00077,0.077,0.002040754681729595
0.00078,0.078,0.0020593943354469957
0.00079,0.079,0.002078033970974502
0.0008,0.08,0.0020966736065020086
0.00081,0.08099999999999999,0.002115313223839621
0.00082,0.082,0.0021339528411772335
0.00083,0.083,0.002152592458514846
0.00084,0.084,0.0021712320576625643
0.00085,0.08499999999999999,0.002189871640439378
0.00086,0.086,0.002208511223216192
0.00087,0.087,0.0022271508059930056
0.00088,0.08800000000000001,0.0022457903887698194
0.00089,0.089,0.002264429971546633
0.0009,0.09,0.002283069554323447
0.00091,0.091,0.0023017091371002607
0.00092,0.092,0.0023203487016871804
0.00093,0.093,0.0023389882662741
0.00094,0.094,0.002357627812671126
0.00095,0.095,0.0023762673590681516
0.00096,0.096,0.0023949069054651773
0.00097,0.097,0.002413546451862203
0.00098,0.098,0.0024321859982592287
0.00099,0.099,0.0024508255100954557
0.001,0.1,0.0024694650219316827
0.00101,0.101,0.0024881045337679097
0.00102,0.10200000000000001,0.0025067440456041368
0.00103,0.10300000000000001,0.002525383557440364
0.00104,0.104,0.002544023069276591
0.00105,0.105,0.002562662581112818
0.00106,0.106,0.002581302092949045
0.00107,0.107,0.002599941586595378
0.00108,0.108,0.002618581062051817
0.00109,0.109,0.002637220537508256
0.0011,0.11,0.0026558599947748007
0.00111,0.11100000000000002,0.0026744994520413456
0.00112,0.11199999999999999,0.0026931389093078906
0.00113,0.11299999999999999,0.0027117783665744355
0.00114,0.11399999999999999,0.0027304178238409804
0.00115,0.11499999999999999,0.0027490572629176313
0.00116,0.116,0.002767696701994282
0.00117,0.117,0.002786336141070933
0.00118,0.11800000000000001,0.002804975580147584
0.00119,0.11900000000000001,0.002823614984663436
0.0012,0.12,0.0028422543891792884
0.00121,0.121,0.0028608937936951406
0.00122,0.122,0.002879533198210993
0.00123,0.123,0.002898172584536951
0.00124,0.124,0.002916811952673015
0.00125,0.125,0.0029354513208090793
0.00126,0.126,0.0029540906889451435
0.00127,0.127,0.0029727300570812076
0.00128,0.128,0.0029913694252172718
0.00129,0.129,0.003010008793353336
0.0013,0.13,0.0030286481451184954
0.00131,0.131,0.003047287496883655
0.00132,0.132,0.0030659268304589204
0.00133,0.133,0.003084566145844292
0.00134,0.134,0.0031032054430397693
0.00135,0.135,0.0031218447402352467
0.00136,0.136,0.003140484037430724
0.00137,0.13699999999999998,0.0031591233346262015
0.00138,0.13799999999999998,0.003177762631821679
0.00139,0.13899999999999998,0.0031964019290171564
0.0014,0.13999999999999999,0.0032150412262126338
0.00141,0.14100000000000001,0.0032336805070372066
0.00142,0.14200000000000002,0.0032523197696718853
0.00143,0.14300000000000002,0.003270959032306564
0.00144,0.14400000000000002,0.003289598294941243
0.00145,0.145,0.0033082375575759215
0.00146,0.146,0.003326876800201717
0.00147,0.147,0.0033455160264566075
0.00148,0.148,0.003364155252711498
0.00149,0.149,0.003382794478966389
0.0015,0.15,0.0034014336870313855
0.00151,0.151,0.003420072895096382
0.00152,0.152,0.003438712086790474
0.00153,0.153,0.003457351278484566
0.00154,0.154,0.003475990470178658
0.00155,0.155,0.00349462966187275
0.00156,0.156,0.003513268835376948
0.00157,0.157,0.003531908008881146
0.00158,0.158,0.00355054716419545
0.00159,0.159,0.003569186319509754
0.0016,0.16,0.003587825474824058
0.00161,0.161,0.003606464630138362
0.00162,0.16199999999999998,0.0036251037854526658
0.00163,0.163,0.0036437429225770757
0.00164,0.164,0.003662382043330581
0.00165,0.165,0.003681021164084086
0.00166,0.166,0.0036996602848375915
0.00167,0.167,0.0037182993874012027
0.00168,0.168,0.00373693847177492
0.00169,0.169,0.003755577556148637
0.0017,0.16999999999999998,0.0037742166405223543
0.00171,0.17099999999999999,0.003792855690335273
0.00172,0.172,0.0038114947401481913
0.00173,0.173,0.003830133771771216
0.00174,0.174,0.003848772783385357
0.00175,0.17500000000000002,0.003867411794999498
0.00176,0.17600000000000002,0.003886050806613639
0.00177,0.17700000000000002,0.00390468981822778
0.00178,0.178,0.003923328829841921
0.00179,0.179,0.003941967841456062
0.0018,0.18,0.003960606836699299
0.00181,0.181,0.003979245831942535
0.00182,0.182,0.003997884827185771
0.00183,0.183,0.004016523804239114
0.00184,0.184,0.004035162781292456
0.00185,0.185,0.004053801758345799
0.00186,0.186,0.004072440735399141
0.00187,0.187,0.004091079712452483
0.00188,0.188,0.004109718673134921
0.00189,0.189,0.004128357615627465
0.0019,0.19,0.0041469965581200086
0.00191,0.191,0.004165635500612552
0.00192,0.192,0.004184274424915202
0.00193,0.193,0.004202913349217852
0.00194,0.194,0.004221552273520501
0.00195,0.19499999999999998,0.004240191179633257
0.00196,0.196,0.004258830069375108
0.00197,0.197,0.004277468959116959
0.00198,0.198,0.00429610784885881
0.00199,0.199,0.004314746738600661
0.002,0.2,0.004333385610152618
0.00201,0.201,0.004352024481704575
0.00202,0.202,0.004370663353256532
0.00203,0.203,0.004389302206618595
0.00204,0.20400000000000001,0.004407941059980658
0.00205,0.20500000000000002,0.004426579913342721
0.00206,0.20600000000000002,0.00444521874851489
0.00207,0.207,0.004463857583687059
0.00208,0.208,0.0044824964006693335
0.00209,0.209,0.004501135201280704
0.0021,0.21,0.004519774001892074
0.00211,0.211,0.004538412782494561
0.00212,0.212,0.004557051563097048
0.00213,0.213,0.004575690343699534
0.00214,0.214,0.004594329107931117
0.00215,0.215,0.004612967872162699
0.00216,0.216,0.004631606636394281
0.00217,0.217,0.004650245400625863
0.00218,0.218,0.004668884164857445
0.00219,0.219,0.004687522910899133
0.0022,0.22,0.0047061616569408216
0.00221,0.22100000000000003,0.00472480040298251
0.00222,0.22200000000000003,0.004743439132653293
0.00223,0.22300000000000003,0.004762077862324077
0.00224,0.22399999999999998,0.004780716573804966
0.00225,0.22499999999999998,0.004799355267095962
0.00226,0.22599999999999998,0.004817993960386957
0.00227,0.22699999999999998,0.0048366326536779525
0.00228,0.22799999999999998,0.004855271346968948
0.00229,0.22899999999999998,0.004873910005699145
0.0023,0.22999999999999998,0.0048925486644293414
0.00231,0.231,0.004911187323159538
0.00232,0.232,0.004929825981889735
0.00233,0.233,0.004948464640619932
0.00234,0.234,0.0049671032811602345
0.00235,0.23500000000000001,0.004985741921700537
0.00236,0.23600000000000002,0.005004380544050946
0.00237,0.23700000000000002,0.005023019166401355
0.00238,0.23800000000000002,0.005041657788751763
0.00239,0.23900000000000002,0.005060296411102172
0.0024,0.24,0.005078935015262687
0.00241,0.241,0.005097573619423201
0.00242,0.242,0.005116212205393822
0.00243,0.243,0.0051348507913644426
0.00244,0.244,0.005153489377335063
0.00245,0.245,0.005172127946934779
0.00246,0.246,0.005190766496525612
0.00247,0.247,0.005209405046116444
0.00248,0.248,0.005228043595707277
0.00249,0.249,0.005246682145298109
0.0025,0.25,0.005265320694888942
0.00251,0.251,0.0052839592444797745
0.00252,0.252,0.005302597794070607
0.00253,0.253,0.00532123634366144
0.00254,0.254,0.0053398748768813675
0.00255,0.255,0.0053585134101012954
0.00256,0.256,0.005377151943321223
0.00257,0.257,0.005395790441980353
0.00258,0.258,0.005414428922449588
0.00259,0.259,0.005433067402918823
0.0026,0.26,0.005451705883388058
0.00261,0.261,0.0054703443456673995
0.00262,0.262,0.005488982807946741
0.00263,0.263,0.005507621252036188
0.00264,0.264,0.005526259696125635
0.00265,0.265,0.005544898140215082
0.00266,0.266,0.005563536567933625
0.00267,0.267,0.005582174977462273
0.00268,0.268,0.005600813386990922
0.00269,0.269,0.00561945179651957
0.0027,0.27,0.0056380901696684305
0.00271,0.271,0.005656728542817291
0.00272,0.272,0.005675366915966151
0.00273,0.27299999999999996,0.005694005270925118
0.00274,0.27399999999999997,0.005712643625884084
0.00275,0.27499999999999997,0.00573128198084305
0.00276,0.27599999999999997,0.005749920319431112
0.00277,0.27699999999999997,0.0057685586380102905
0.00278,0.27799999999999997,0.005787196956589469
0.00279,0.27899999999999997,0.005805835258797742
0.0028,0.27999999999999997,0.005824473561006016
0.00281,0.281,0.005843111845024396
0.00282,0.28200000000000003,0.005861750112671871
0.00283,0.28300000000000003,0.005880388380319346
0.00284,0.28400000000000003,0.005899026647966821
0.00285,0.28500000000000003,0.005917664915614296
0.00286,0.28600000000000003,0.005936303183261771
0.00287,0.28700000000000003,0.005954941432719352
0.00288,0.28800000000000003,0.005973579682176933
0.00289,0.28900000000000003,0.00599221791344462
0.0029,0.29,0.0060108561447123066
0.00291,0.291,0.0060294943577900995
0.00292,0.292,0.006048132554496988
0.00293,0.293,0.006066770751203876
0.00294,0.294,0.006085408947910764
0.00295,0.295,0.0061040471264277585
0.00296,0.296,0.006122685284935869
0.00297,0.297,0.00614132344344398
0.00298,0.298,0.006159961601952091
0.00299,0.299,0.006178599744089297
0.003,0.3,0.006197237886226503
0.00301,0.301,0.006215876010173815
0.00302,0.302,0.006234514134121127
0.00303,0.303,0.0062531522216886515
0.00304,0.304,0.0062717903092561755
0.00305,0.305,0.006290428380452795
0.00306,0.306,0.006309066451649414
0.00307,0.307,0.006327704522846034
0.00308,0.308,0.0063463425594818546
0.00309,0.309,0.006364980596117675
0.0031,0.31,0.006383618632753496
0.00311,0.311,0.006402256669389317
0.00312,0.312,0.0064208946878352435
0.00313,0.313,0.00643953270628117
0.00314,0.314,0.006458170724727097
0.00315,0.315,0.006476808743173024
0.00316,0.316,0.006495446743429056
0.00317,0.317,0.006514084743685089
0.00318,0.318,0.006532722743941122
0.00319,0.319,0.00655136072600726
0.0032,0.32,0.006569998708073399
0.00321,0.321,0.006588636673768633
0.00322,0.322,0.006607274621273973
0.00323,0.32299999999999995,0.006625912568779313
0.00324,0.32399999999999995,0.006644550516284653
0.00325,0.325,0.006663188463789993
0.00326,0.326,0.0066818263912864495
0.00327,0.327,0.006700464318782906
0.00328,0.328,0.006719102229908458
0.00329,0.329,0.00673774014103401
0.0033,0.33,0.006756378017598763
0.00331,0.331,0.006775015894163516
0.00332,0.332,0.00679365377072827
0.00333,0.333,0.006812291647293023
0.00334,0.334,0.006830929505667882
0.00335,0.335,0.006849567364042741
0.00336,0.336,0.006868205204227706
