bin_left,bin_right,bin_center,reference_density,proposal_density,reweighted_density
0.0,0.5,0.25,4.00001280004096e-07,0.0017830932318564827,3.629333318404549e-06
0.5,1.0,0.75,8.00002560008192e-07,0.0019353085077466704,3.6410198876006613e-06
1.0,1.5,1.25,1.200003840012288e-06,0.0015438977983147594,2.6482545958043665e-06
1.5,2.0,1.75,1.600005120016384e-06,0.001348192443598804,2.0594679222567143e-06
2.0,2.5,2.25,4.00001280004096e-07,0.0011742321282957326,1.5773513789176663e-06
2.5,3.0,2.75,4.00001280004096e-07,0.0015438977983147594,1.8184904247090253e-06
3.0,3.5,3.25,0.0,0.0011307420494699647,1.1753877643371436e-06
3.5,4.0,3.75,8.00002560008192e-07,0.001022016852405545,9.479694172358595e-07
4.0,4.5,4.25,1.600005120016384e-06,0.0011307420494699647,9.493335214631746e-07
4.5,5.0,4.75,2.400007680024576e-06,0.0012394672465343844,9.66747008028496e-07
5.0,5.5,5.25,1.600005120016384e-06,0.0011307420494699647,8.596911563935299e-07
5.5,6.0,5.75,3.200010240032768e-06,0.0011307420494699647,8.74720515482027e-07
6.0,6.5,6.25,3.200010240032768e-06,0.001369937483011688,1.1466147919890763e-06
6.5,7.0,6.75,2.0000064000204802e-06,0.0011089970100570806,1.043683462695598e-06
7.0,7.5,7.25,4.0000128000409605e-06,0.001065506931231313,1.2126459885421187e-06
7.5,8.0,7.75,4.400014080045056e-06,0.001391682522424572,2.0164416651541135e-06
8.0,8.5,8.25,5.200016640053248e-06,0.001369937483011688,2.6584518573141986e-06
8.5,9.0,8.75,1.1600037120118784e-05,0.0014786626800761076,3.9950313163223345e-06
9.0,9.5,9.25,1.1600037120118784e-05,0.0017396031530307148,6.759725493815629e-06
9.5,10.0,9.75,1.880006016019251e-05,0.0018265833106822507,1.0479152246480736e-05
10.0,10.5,10.25,2.5200080640258047e-05,0.0019135634683337863,1.626425308784978e-05
10.5,11.0,10.75,3.6800117760376835e-05,0.0019353085077466704,2.402346870118472e-05
11.0,11.5,11.25,4.800015360049152e-05,0.0017613481924435989,3.160001894456374e-05
11.5,12.0,11.75,8.120025984083149e-05,0.0022614840989399294,5.671858649369894e-05
12.0,12.5,12.25,0.00011840037888121242,0.0025006795324816525,8.787147092437359e-05
12.5,13.0,12.75,0.00016720053504171213,0.002718129926610492,0.00012942022050472162
13.0,13.5,13.25,0.00025520081664261326,0.0028268551236749115,0.00017864936038268026
13.5,14.0,13.75,0.0003712011878438011,0.003783636857841805,0.0003217459274577009
14.0,14.5,14.25,0.0005848018713659884,0.003674911660777385,0.0004196428313239874
14.5,15.0,14.75,0.0008772028070489825,0.0046969285131829306,0.0007214100448284779
15.0,15.5,15.25,0.0013596043507339223,0.005110084262027725,0.0010483430045396959
15.5,16.0,15.75,0.002124406798101754,0.006393041587387877,0.0017695670310365764
16.0,16.5,16.25,0.0033984108749147996,0.008154389779831475,0.002924086895577435
16.5,17.0,16.75,0.005133216426292564,0.010198423484642566,0.00472826535148206
17.0,17.5,17.25,0.008038825724242318,0.012068496874150585,0.0070944443232571885
