bin_left,bin_right,bin_center,reference_density,proposal_density,reweighted_density
0.0,0.5,0.25,4.00001280004096e-07,0.0028266054235491565,3.3533620093125917e-06
0.5,1.0,0.75,8.00002560008192e-07,0.0021862026322763007,2.452484715340813e-06
1.0,1.5,1.25,1.200003840012288e-06,0.002340782616376645,2.4406116457409884e-06
1.5,2.0,1.75,1.600005120016384e-06,0.002252451196890734,2.150510185780034e-06
2.0,2.5,2.25,4.00001280004096e-07,0.0018549598092041338,1.5985432668280684e-06
2.5,3.0,2.75,4.00001280004096e-07,0.0019874569384330004,1.532229160057433e-06
3.0,3.5,3.25,0.0,0.0018770426640756118,1.2962045898079028e-06
3.5,4.0,3.75,8.00002560008192e-07,0.0018107940994611783,1.1331155276489563e-06
4.0,4.5,4.25,1.600005120016384e-06,0.0019212083738185672,1.1066415931917345e-06
4.5,5.0,4.75,2.400007680024576e-06,0.001744545534846745,9.558101208732949e-07
5.0,5.5,5.25,1.600005120016384e-06,0.0019212083738185672,1.0398801341943633e-06
5.5,6.0,5.75,3.200010240032768e-06,0.0017666283897182229,9.882300941528433e-07
6.0,6.5,6.25,3.200010240032768e-06,0.0017666283897182229,1.0818154661686942e-06
6.5,7.0,6.75,2.0000064000204802e-06,0.001634131260489356,1.161520295295368e-06
7.0,7.5,7.25,4.0000128000409605e-06,0.0017887112445897006,1.5568116095762979e-06
7.5,8.0,7.75,4.400014080045056e-06,0.0018107940994611783,2.0702465825148866e-06
8.0,8.5,8.25,5.200016640053248e-06,0.001965374083561523,3.0365905545928025e-06
8.5,9.0,8.75,1.1600037120118784e-05,0.0018549598092041338,4.051425198751267e-06
9.0,9.5,9.25,1.1600037120118784e-05,0.0017887112445897006,5.693261700704079e-06
9.5,10.0,9.75,1.880006016019251e-05,0.0013912198569031005,6.891466499820207e-06
10.0,10.5,10.25,2.5200080640258047e-05,0.0020316226481759563,1.5168047691355969e-05
10.5,11.0,10.75,3.6800117760376835e-05,0.0021420369225333452,2.3631238332830754e-05
11.0,11.5,11.25,4.800015360049152e-05,0.002362865471248123,3.8610113317831265e-05
11.5,12.0,11.75,8.120025984083149e-05,0.0022082854871477786,5.2696348899324835e-05
12.0,12.5,12.25,0.00011840037888121242,0.0027161911491917676,9.136039565743035e-05
12.5,13.0,12.75,0.00016720053504171213,0.0028045225686776786,0.00013264506637035065
13.0,13.5,13.25,0.00025520081664261326,0.003179931101492801,0.00020616140213981126
13.5,14.0,13.75,0.0003712011878438011,0.00348909106969349,0.00030937433619923795
14.0,14.5,14.25,0.0005848018713659884,0.0033124282307216675,0.0004037725205150455
14.5,15.0,14.75,0.0008772028070489825,0.0035774224891794012,0.0006101527100785922
15.0,15.5,15.25,0.0013596043507339223,0.004659482377881812,0.0011032783982321901
15.5,16.0,15.75,0.002124406798101754,0.005653210847098313,0.0018437022929273573
16.0,16.5,16.25,0.0033984108749147996,0.006514442187085946,0.0028103924130672146
16.5,17.0,16.75,0.005133216426292564,0.008700644819362247,0.004906182082260629
17.0,17.5,17.25,0.008038825724242318,0.010113947531136825,0.007323487921690856
17.5,18.0,17.75,0.012533640107648344,0.012278067308541649,0.011049050394780886
18.0,18.5,18.25,0.018850860322753033,0.017180461090009716,0.018463427227266887
18.5,19.0,18.75,0.028162490119968384,0.02340782616376645,0.02872437932934157
19.0,19.5,19.25,0.040936930998179195,0.030386008303153432,0.04069124015104973
19.5,20.0,19.75,0.057600984323149834,0.03990371875276036,0.05621487919670899
20.0,20.5,20.25,0.07842505096016307,0.05403674587050614,0.07770740238817703
20.5,21.0,20.75,0.10222832713064682,0.0746621323204664,0.10735266840526848
21.0,21.5,21.25,0.12764040844930705,0.09182051055560463,0.13012328247902505
21.5,22.0,21.75,0.15191128611611557,0.11231339987633601,0.156308976651605
22.0,22.5,22.25,0.1706717461495877,0.12704266407561168,0.17677922556363906
22.5,23.0,22.75,0.18163738123961998,0.132187969260666,0.18674338766194715
23.0,23.5,23.25,0.18229778335290672,0.13254129493860967,0.19210107899584786
