system,arm,release_role,data_identity,seed,num_samples,formal_no_clip,forward_checkpoint_sha256,backward_checkpoint_sha256,pf_archive_sha256,valid_mask_fraction,support_mask_fraction,included_sample_fraction,ess_fraction,max_weight,top_0p1_percent_mass,top_1_percent_mass,logw_variance,logw_span,proposal_js,weighted_js,proposal_pmf_error,weighted_pmf_error,proposal_energy_wasserstein_w1,proposal_energy_wasserstein_w2,js_improvement,pmf_error_improvement,proposal_basin_l1,weighted_basin_l1,proposal_energy_mean_error,weighted_energy_mean_error,proposal_energy_mean_abs_error,weighted_energy_mean_abs_error
ala2_cg,mixed_low_ess_warm10k_energy100k_pf20k,mixed_negative_ablation,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",3,20000,True,f2b08ce12c502a7a9e0c05412e2bee98f61b06e3f52bd0438e859f0c1a316305,72bae6f76939889015120eef63bf27aac0fc1c50af9bf5584a15b656e5366b27,f86920c8c1c3849ef9342c196ab437218af707e2b082885e37de4ec4a05f8bf1,1.0,1.0,1.0,0.014078297404642084,0.04846319556236267,0.14534464944154024,0.3311900802073069,223.1494750276031,1111.750662446022,0.078675442431489,0.10954525858461073,7.059099140234728,4.221743201526824,11.417591344652005,90.80946860718993,-0.030869816153121732,2.837355938707904,,,,,,
ala2_cg,positive_warm10k_energy20k_pf10k,primary,"six-bead core-beta CG-BG MACE PMF + fixed support terms, 300 K, ambient18 auxiliary-COM; warm endpoints hash-pinned CG-BG explicit core-beta data",3,10000,True,45ea4533139e54a30c2fc233a729fd911b1b807990bc1a440fff30a00b0fa40b,6d197fe6328236e0c9bcae8fad3aa2727cb7063f0e345d2bff75841a6a99c011,0ec596e2eae2fe3da4a849b9c3ea8e48220b5b6718a9f368c63a3f5c36337ad4,1.0,1.0,1.0,0.13555407864712005,0.008043825626373291,0.05104926857165992,0.186349643568974,60.85508520947113,105.7553927898407,0.11446891341760579,0.08790117845539949,10.281423532251342,5.993848507926312,7.933065591381114,22.04794457323453,0.026567734962206296,4.2875750243250295,,,,,,
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,0,100000,True,59838cdf30ae1ad4ec3979d087f48ec210b235146e631f3d7c89eb3b65e2a7a6,45908c2b2c98aea048a33e1c8d5de3e71608a6185bfb0502ad43fc2ce264a317,0973fb31084015f448decafae473e2ed3bf72d1374204e56df602712e38a0003,1.0,1.0,1.0,0.17175963990578777,0.0005971266655251384,0.009057635666977149,0.07024821607774356,3.0730749409847014,9.197866678237915,0.38201825930329314,0.010562447700907418,1.9694422549533692,1.89043294919321,,,0.3714558116023857,0.0790093057601593,1.5898502605294245,4.205437907868308e-05,3.142432749342783,-0.010264298473806832,3.142432749342783,0.010264298473806832
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,1,100000,True,e0302315a8c77eaab6c9e396f1b90538ab8662aab18f8f8117f76f1fa7bc961e,b8338dbad20603453c02ec4317371bedb9c1bb30630a0f9fbfef96ed0e3ba703,b0910df81c237069cf4cbbe70209c308ed04df285f944f25afc08ad68c29afc7,1.0,1.0,1.0,0.1404506875613328,0.00043996566091664135,0.01654985686764121,0.10345619064901257,2.8986218118493996,8.94231367111206,0.4090832024757546,0.015622214414893776,2.481185287718518,2.511872653614922,,,0.39346098806086083,-0.030687365896404195,1.6440302605294246,0.0009075094004255147,3.2598665691223,-0.010444658926674677,3.2598665691223,0.010444658926674677
mb2d,biased_bridge_energy,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,2,100000,True,7cf67974952b8f43c70c609ecc61658730bc0ba0755b2c66aabeece218ce13ad,db8681326a182016ffaf758ebb2c4c5c38ebac04a62c6d77128b8633a2db0e03,c5faed48cf139aa98661ee08d45973f9f451225757f6c3d7427482fc10f72e3b,1.0,1.0,1.0,0.12229374622481978,0.0017172480002045631,0.013862753752619028,0.10009057774004759,2.7628249474271955,9.853285074234009,0.42557419129635776,0.014837127674954162,2.221140810356801,2.1986928622431527,,,0.4107370636214036,0.022447948113648142,1.6762702605294246,0.0007734827216348151,3.297248360091558,0.019044201674514483,3.297248360091558,0.019044201674514483
mb2d,biased_bridge_only,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,0,100000,True,b6852c7f1aa0fa94a40fe9300e81b001b2575945094f6eafd20c1e077c433567,6a61545ce9d7e82bab496c5fa9185100ec66ea6cf1308743678fa0dabf529b3b,ddc02b5ab0ebaa8defe53786ee48b0475989827656df7e90024dcd961eaaba8e,0.85469,0.85469,0.85469,0.0383804011587051,0.0014915335923433304,0.09660989756230265,0.3788124922430143,51.08310172407022,751.8457698822021,0.49843398545053635,0.03556738797353385,4.004230419050044,4.383450384571832,,,0.4628665974770025,-0.3792199655217878,1.6295302605294246,0.00035104541733809586,19713.16362757538,0.01952122013675961,19713.16362757538,0.01952122013675961
mb2d,biased_bridge_only,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,1,100000,True,a8c4cd18ffcd707b87772ca13f50331bd7cd58eea15c5745fbe10eb183fd1b2d,96ce1966981924df767cd227b9a15d47b5142cc09cf9b7db2f9275291b398eca,2c1092b2327d4556784f5f95957148df4564d10211857db09064be1876e9d92c,0.84163,0.84163,0.84163,0.042482429666857495,0.0012245033867657185,0.08522139303386211,0.35172653319023084,34.2409866956512,530.4295783042908,0.501955436078246,0.03229277272673384,3.8123705744187437,4.182904199709701,,,0.4696626633515122,-0.37053362529095724,1.6431302605294245,0.00036082713376079517,13.19840126470177,0.00035415485083589715,13.19840126470177,0.00035415485083589715
mb2d,biased_bridge_only,biased_endpoint_stress_test,deliberately_biased_synthetic_full_support_v1,2,100000,True,8452451b0f4581822d261e48fb72906700afc10ab0668e0c6f71ab2b3b831063,282a6b0a090555b5011dc9c7a9d102a0c6e9f7ba9e78049bca0de6a953c7cac7,a2f43940f35227360bcf1da0df23ed8c6399223097eeab4968e6b37204812ec9,0.87478,0.87478,0.87478,0.03779725118145607,0.001345934346318245,0.0914371621911414,0.3957101473060902,39.272790228824284,521.4100942611694,0.507347266884821,0.03427841405244777,4.002921175470455,4.405855703480833,,,0.47306885283237327,-0.40293452801037866,1.6346102605294246,0.0004484705400361697,267601925122.40784,-0.006592737734949949,267601925122.40784,0.006592737734949949
mb2d,cold_energy_only,primary,endpoint_independent_energy_bms,0,100000,True,dc8b6ed7be3151b6c813609df1499819c9b99b5cc1e17528e0b8b18b294a1599,0bc8bb50ec0a16cef991338c557b05405ed648065c3d84c07e36f0d5f12dae2d,91ca764a55c40705695edbef184f9ef86cdf0a6e2c8ed3e20a94295e4f3d362c,1.0,1.0,1.0,0.903238499088367,0.0006624369416385889,0.004958929755957797,0.024815010396196158,0.06538127079026469,9.50607454776764,0.011288361611441517,0.006645985954947845,1.5702387856111062,1.5612824057960157,,,0.004642375656493673,0.008956379815090454,0.019610410139314027,0.0018384270401868921,0.06429209113842127,-0.005327267185403883,0.06429209113842127,0.005327267185403883
mb2d,cold_energy_only,primary,endpoint_independent_energy_bms,1,100000,True,c731ca3805b84b2975cf8ba71a27ef1a197e7cf6c3f64833c434ef922585d8b5,cfcbc794564905b49110ce2cdb47a78a8af934381aff4497849aad353ffe6250,d2926f9045a9c3f74773616bcbc763126b4429767404b8d13590c2ca14363eac,1.0,1.0,1.0,0.6238736342268578,0.0018973750993609428,0.006217869700776646,0.02343921184183273,0.7622971651358953,12.186789989471436,0.04616945598038548,0.005027113989155204,1.2701124853309633,1.2158746810076655,,,0.04114234199123028,0.054237804323297834,0.3280102605294245,0.00031778289756875626,0.7500744755765023,-0.002156429115046876,0.7500744755765023,0.002156429115046876
mb2d,cold_energy_only,primary,endpoint_independent_energy_bms,2,100000,True,2f7f8828e852273ac726e1a94689de7266ca8f95bece4a4247508392eea1aebd,1c2831b0d28f882efb0541ddc652c9555a4a430cb7d76b712d1b110ea92e3657,cb2821242b662610fc52a2001a215b392aaba38fd956034a39d05d3951120810,1.0,1.0,1.0,0.9175693616035225,5.513606083695777e-05,0.002382787171882228,0.018063503641315037,0.27924673543983425,8.212801933288574,0.020650988041853294,0.004647991242713114,1.1646408737316802,1.1402737445461708,,,0.01600299679914018,0.02436712918550943,0.1459102605294245,0.0006348483177286163,0.34231208537316604,0.004979589248456762,0.34231208537316604,0.004979589248456762
mb2d,equilibrium_bridge_energy,primary,equilibrium_exact_v1,0,100000,True,f0167c903f0c0114c997f865457652d7cce1b2dd3a78b4243af659e55a42de13,48a89a559d65957e87dadaf2183210f6acefc4f9b31db5d8b1eeaf6d3c02e97c,07d569f095c4d8e9a9659d1b9059cc2feee8b41dff0ba06b99649d5aad1ddf6a,1.0,1.0,1.0,0.9599690455559544,0.00026295636780560017,0.004336549585786997,0.02345957297984569,0.018378718821847502,7.210042476654053,0.008536317435058335,0.0076561886282297785,1.7149373653255657,1.7104148455867039,,,0.0008801288068285562,0.004522519738861863,0.030769739470575496,0.0009096598673948835,-0.03605609092411122,0.0014325135212001072,0.03605609092411122,0.0014325135212001072
mb2d,equilibrium_bridge_energy,primary,equilibrium_exact_v1,1,100000,True,479fc374ac2fa057da407ba484dc1ef969e97dfcb54b3222b8d8ea68e6d38986,6b60da2b3e785a5a2c60f14cf161e1db8f28c4584dc08fbe9aa65c424ad600bf,f783bf90e184283ce90a4eefc4968fe8e6e338ae5aa98fb46f352657857f8d10,1.0,1.0,1.0,0.9879987576281757,9.09410955500789e-05,0.002350133338040905,0.017529842096337234,0.012714396800699333,6.361952424049377,0.007351458685054734,0.006408573681109446,1.5009448440630986,1.4982623314522296,,,0.0009428850039452886,0.0026825126108689368,0.01312014960988977,0.0005722173433722524,-0.02186231337612199,0.0006169878758388592,0.02186231337612199,0.0006169878758388592
mb2d,equilibrium_bridge_energy,primary,equilibrium_exact_v1,2,100000,True,9698f5a09ab91c2be0497c03f9a03158937cc14677034efc9f23e51be0aa855c,e60d4aada40539bfcf9212c95763f7d8286763be5a1c31ab6d2e4d14a99b201d,e2db4c8663bf82a29c2f3cdfe9633942d0c7925b32c41a9393fe17a7acefac5a,1.0,1.0,1.0,0.9783296703629563,8.565846655983478e-05,0.0030957533308537677,0.020698856591479853,0.016758984223707363,6.263433814048767,0.008109214628461472,0.006883903578908709,1.5620227939101388,1.5571955086051774,,,0.0012253110495527627,0.0048272853049613484,0.022220149609889717,0.000573554349031731,-0.060123600183915826,0.003145869055602546,0.060123600183915826,0.003145869055602546
mb2d,equilibrium_bridge_only,primary,equilibrium_exact_v1,0,100000,True,4c7c46ad60c76f09135aa7801daffd7e5279c6e8817b8b97f69b4f2778a99f7f,eacd1bd3897358ae5a7ba06da0a4915279bebd8d84fa83f7fe3d715c3cb08b07,5e8e94d0d65e6161e5f268d72ab931e2b5cfa59041b3b03f8367691ed4c28288,1.0,1.0,1.0,0.9906740832808899,2.662094630068168e-05,0.0021389476205513347,0.01487476909187535,0.022232495368393498,5.912741661071777,0.0074684784778676315,0.006239655877584599,1.475784558880153,1.4742844838492255,,,0.0012288226002830326,0.001500075030927528,0.008729739470575463,0.0008557726178063108,0.04188363285649643,0.0032272803413793127,0.04188363285649643,0.0032272803413793127
mb2d,equilibrium_bridge_only,primary,equilibrium_exact_v1,1,100000,True,a696828ed7a15692f8fe22f8f26c6c1466ac897c205949e53a61c656013a813f,c9065bb721d0ceafaacf2555d59d76f8ebe039160000d7c5d43897fa6ef601cf,c92c655d9f0090adf01a5895d4d9d3d58f2b03c0ed2d5da80157e9640a6c5f84,1.0,1.0,1.0,0.9848881360908183,9.042721649166197e-05,0.0022375481839844724,0.01715024407621968,0.02310202105070057,7.055301785469055,0.007777240059307718,0.006591229568065246,1.5321615930931434,1.5293396165691775,,,0.0011860104912424715,0.0028219765239658745,0.006269739470575509,0.001232831609884008,-0.02730289667071517,0.002125300218521531,0.02730289667071517,0.002125300218521531
mb2d,equilibrium_bridge_only,primary,equilibrium_exact_v1,2,100000,True,6563431873137e54479fc0fd38e89292fae34e1ceb085e1942566862da1513bb,5f16cb4b4e5df75486f4585b219ea670fc891d4e6b278c5c447b452d16b3c519,df0f79a4e6dfbe056a8ffe44c8d714873898ed48507cd78f3ad41ce4fb3636ce,1.0,1.0,1.0,0.9813366468613355,2.742319156823214e-05,0.0020450253068702295,0.015381812826490204,0.032523265677591014,5.826607704162598,0.008735137580114273,0.0061479745757454535,1.436391082601377,1.432017559077396,,,0.0025871630043688195,0.0043735235239810155,0.004520149609889784,0.0004537182071660522,0.07058855199243297,0.0036423731230303957,0.07058855199243297,0.0036423731230303957
